Mata Pelajaran,Soal,Jawaban,Skor,Keterangan
Pendidikan Pancasila,Apa yang kalian ketahui tentang system ekonomi Pancasila?,sistem  yg berlandasan pada nilai-nilai pancasila sebagai dasar negara indonesia,10,Jawaban Siswa
Pendidikan Pancasila,Jelaskan apa makna penting dari gotong royong?,meringankan pekerjaan dan dapat saling bekerja sama,10,Jawaban Siswa
Pendidikan Pancasila,"Konsep gotong royong mengandung makna bekerja sama secara nyata, baik secara fisik maupun nonfisik. Jelaskan apa yang dimaksud dengan gotong royong fisik dan nonfisik! Berikan contohnya!","gotong royong fisik contohnya membersihkan lingkungan, gotong royong nonfisik contohnya musyawarah",5,Jawaban Siswa
Pendidikan Pancasila,"Sebagai identitas budaya bangsa Indonesia, tradisi gotong royong sarat dengan nilai-nilai luhur. Berikut ini nilai-nilai luhur yang terkandung dalam tradisi gotong royong, kecuali","Mengotorkan lingkungan, tidak ikut bersih bersih",10,Jawaban Siswa
Pendidikan Pancasila,"Pada salah satu bait di kitab tersebut (sutasoma) terdapat kalimat yang kemudian kita jadikan sebagai semboya Republik Indonesia, yakni ""Bhinneka Tunggal Ika"" yang berarti berbeda-beda, tetapi tetap satu jua. Semboyan bhinneka tunggal ika merupakan respon dari Mpu Tantular terhadap?",Sikap toleransi dari perbedaan yang beragam dimasyarakat pada masa kerajaan maja pahit,0,Jawaban Siswa
Pendidikan Pancasila,narasikan apakah itu bhineka tunggal ika?,"Bhinneka tunggal ika yang berasal dari Jawa kuno kitab Sutasoma karya Mpu tantular pada abad 14 kerajaan majapahit, berbeda- beda tetapi tetap satu jua, yang diambil dari kitab sutasoma",10,Jawaban Siswa
Pendidikan Pancasila,Bhinneka tunggal ika tan hana dharma mangrwa. Coba cari makna atau arti dari kalimat tersebut!,Berbeda-beda tetapi tetap satu jua,5,Jawaban Siswa
Pendidikan Pancasila,Indonesia adalah negara yang memiliki penduduk heterogen dengan wilayah kepulauan yang terdiri atas belasan ribu pulau yang satu sama lain dipersatukan oleh selat dan laut. Coba jelaskan apa makna yang terkandung dalam hubungan bangsa Indonesia dengan bhineka tunggal ika?,Semangat berberagam dalam perbedaan kesatuan dari bangsa indonesia. Bhinneka artinya berbeda-beda. Tunggal artinya satu. Ika artinya jua,5,Jawaban Siswa
Pendidikan Pancasila,Apakah sebenarnya makna dari BHINEKA TUNGGAL IKA dalam kitab sutasoma tersebut?,berisi etika dan nilai moral manusia dalam menghargai perbedaan dan tetap menjadi satu kesatuan dalam keberagaman atau berbeda beda tetapi tetap satu ,5,Jawaban Siswa
Pendidikan Pancasila,"Makna bhinneka tunggal ika secara kontekstual ialah perbedaan dalam keberagaman dan merupakan kesatuan dari bangsa Indonesia. Kalimat bhinneka tunggal ika mengandung dua unsur, yaitu keberagaman dan kesatuan. Jelaskan!","keberagaman berberagam macam ras, agama, suku, antar anggota, meskipun berbeda beda dan bermacam keberagaman kita harus menjadikan bangsa Indonesia ini menjadi negara kesatuan bersatu dari sabang sampai merauke",5,Jawaban Siswa
Pendidikan Pancasila,Apa yang kalian ketahui tentang system ekonomi Pancasila?,Sistem ekonomi Pancasila adalah Sistem yang berlandaskan pada nilai nilai pancasila sebagai dasar negara Indonesia,10,Jawaban Siswa
Pendidikan Pancasila,Jelaskan apa makna penting dari gotong royong?,menciptakan kebersamaan dan kerukunan serta kepedulian bersama,10,Jawaban Siswa
Pendidikan Pancasila,"Konsep gotong royong mengandung makna bekerja sama secara nyata, baik secara fisik maupun nonfisik. Jelaskan apa yang dimaksud dengan gotong royong fisik dan nonfisik! Berikan contohnya!","gotong royong fisik dan non fisik. Fisik yaitu yang melibatkan tenaga dan ikut serta  dalam kegiatan tersebut, contoh hadir dalam kegiatan tersebut dan ikut berpartisipasi dalam gotong royong. Non fisik yaitu tidak melibatkan tenaga ataupun ikut hadir mengikkuti kegiatan, contoh memberikan ide atau saran",10,Jawaban Siswa
Pendidikan Pancasila,"Sebagai identitas budaya bangsa Indonesia, tradisi gotong royong sarat dengan nilai-nilai luhur. Berikut ini nilai-nilai luhur yang terkandung dalam tradisi gotong royong, kecuali",Bukber (kenikmatan bersama),10,Jawaban Siswa
Pendidikan Pancasila,"Pada salah satu bait di kitab tersebut (sutasoma) terdapat kalimat yang kemudian kita jadikan sebagai semboya Republik Indonesia, yakni ""Bhinneka Tunggal Ika"" yang berarti berbeda-beda, tetapi tetap satu jua. Semboyan bhinneka tunggal ika merupakan respon dari Mpu Tantular terhadap?",mpu Tantular terhadap sutasoma,0,Jawaban Siswa
Pendidikan Pancasila,narasikan apakah itu bhineka tunggal ika?,"bhinneka tunggal ika secara Arfia bhinneka artinya beragaman,tunggal artinya satu, ika artinya itu. Secara istonis bhineka tunggal ika adalah semangat bersatu dalam kontes beragaman",10,Jawaban Siswa
Pendidikan Pancasila,Bhinneka tunggal ika tan hana dharma mangrwa. Coba cari makna atau arti dari kalimat tersebut!,Artinya berasal dari bahasa jawa kuno berbeda-beda satu itu tidak ada kebenaran atau ajaran mendua atau berbeda-beda,10,Jawaban Siswa
Pendidikan Pancasila,Indonesia adalah negara yang memiliki penduduk heterogen dengan wilayah kepulauan yang terdiri atas belasan ribu pulau yang satu sama lain dipersatukan oleh selat dan laut. Coba jelaskan apa makna yang terkandung dalam hubungan bangsa Indonesia dengan bhineka tunggal ika?,makna bhineka tunggal ika secara kontekstual ialah perbedaan dalam keberagaman merupakan kesatuan dari bangsa indonesia,0,Jawaban Siswa
Pendidikan Pancasila,Apakah sebenarnya makna dari BHINEKA TUNGGAL IKA dalam kitab sutasoma tersebut?,berisi etika dan nilai moral manusia dalam menghargai perbedaan dan tetap menjadi satu kesatuan dalam keberagaman ,5,Jawaban Siswa
Pendidikan Pancasila,"Makna bhinneka tunggal ika secara kontekstual ialah perbedaan dalam keberagaman dan merupakan kesatuan dari bangsa Indonesia. Kalimat bhinneka tunggal ika mengandung dua unsur, yaitu keberagaman dan kesatuan. Jelaskan!","Keberagaman (bhineka) kesatuan (tunggal ika) dalam kitab kakawin sutasoma mpu Tantular, kedua unsur ini seimbang dan saling melengkapi",5,Jawaban Siswa
Pendidikan Pancasila,Apa yang kalian ketahui tentang system ekonomi Pancasila?,Sistem yg berlandasan pada nilai nilai pancasila sebagai dasar negara indonesia,10,Jawaban Siswa
Pendidikan Pancasila,Jelaskan apa makna penting dari gotong royong?,"maknanya untuk bekerjasama melestarikan lingkungan, bekerjasama secara nyata, baik secara fisik maupun nonfisik",10,Jawaban Siswa
Pendidikan Pancasila,"Konsep gotong royong mengandung makna bekerja sama secara nyata, baik secara fisik maupun nonfisik. Jelaskan apa yang dimaksud dengan gotong royong fisik dan nonfisik! Berikan contohnya!",fisik itu seperti gotong royong yg mengangkat berat berat. Nonfisik itu seperti mengangkat yang ringan-ringan,0,Jawaban Siswa
Pendidikan Pancasila,"Sebagai identitas budaya bangsa Indonesia, tradisi gotong royong sarat dengan nilai-nilai luhur. Berikut ini nilai-nilai luhur yang terkandung dalam tradisi gotong royong, kecuali",kenikmatan,10,Jawaban Siswa
Pendidikan Pancasila,"Pada salah satu bait di kitab tersebut (sutasoma) terdapat kalimat yang kemudian kita jadikan sebagai semboya Republik Indonesia, yakni ""Bhinneka Tunggal Ika"" yang berarti berbeda-beda, tetapi tetap satu jua. Semboyan bhinneka tunggal ika merupakan respon dari Mpu Tantular terhadap?",Bangsa indonesia,0,Jawaban Siswa
Pendidikan Pancasila,narasikan apakah itu bhineka tunggal ika?,Bhineka tunggal ika merupakan walaupun berbeda-beda tetapi satu bangsa  yaitu Indonesia,5,Jawaban Siswa
Pendidikan Pancasila,Bhinneka tunggal ika tan hana dharma mangrwa. Coba cari makna atau arti dari kalimat tersebut!,"merupakan suatu semboyan berbeda-beda tetapi, tetap satu jua",10,Jawaban Siswa
Pendidikan Pancasila,Indonesia adalah negara yang memiliki penduduk heterogen dengan wilayah kepulauan yang terdiri atas belasan ribu pulau yang satu sama lain dipersatukan oleh selat dan laut. Coba jelaskan apa makna yang terkandung dalam hubungan bangsa Indonesia dengan bhineka tunggal ika?,walaupun Indonesia wilayahnya berbeda-beda pulau tetapi tetap menjadi satu bangsa,10,Jawaban Siswa
Pendidikan Pancasila,Apakah sebenarnya makna dari BHINEKA TUNGGAL IKA dalam kitab sutasoma tersebut?,yg berarti berbeda-beda tetapi tetap satu jua,5,Jawaban Siswa
Pendidikan Pancasila,"Makna bhinneka tunggal ika secara kontekstual ialah perbedaan dalam keberagaman dan merupakan kesatuan dari bangsa Indonesia. Kalimat bhinneka tunggal ika mengandung dua unsur, yaitu keberagaman dan kesatuan. Jelaskan!","Keberagaman yg berarti beragam atau berbeda kesatuan yg  berarti bersatu jadi makna bhineka tunggal ika secara kontekstual, keberagaman yang bersatu",0,Jawaban Siswa
Pendidikan Pancasila,Apa yang kalian ketahui tentang system ekonomi Pancasila?,"merupakan ketentuan, pegangan bangsa indonesia",0,Jawaban Siswa
Pendidikan Pancasila,Jelaskan apa makna penting dari gotong royong?,Bekrja sama secara nyata dalam menyelesaikan suatu pekerjaan,10,Jawaban Siswa
Pendidikan Pancasila,"Konsep gotong royong mengandung makna bekerja sama secara nyata, baik secara fisik maupun nonfisik. Jelaskan apa yang dimaksud dengan gotong royong fisik dan nonfisik! Berikan contohnya!",Gotong royong fisik yg berarti Gotong royong dg menggunakan fisik atau tenaga. Gotong royong non fisik berarti Gotong royong yg tidak menggunakan tenaga. Contoh Gotong royong fisik yaitu membangun masjid. Contoh Gotong royong non Fisik yaitu ikut menyuarakan suatu pendapat,10,Jawaban Siswa
Pendidikan Pancasila,"Sebagai identitas budaya bangsa Indonesia, tradisi gotong royong sarat dengan nilai-nilai luhur. Berikut ini nilai-nilai luhur yang terkandung dalam tradisi gotong royong, kecuali",mempersulit pekerjaan,10,Jawaban Siswa
Pendidikan Pancasila,"Pada salah satu bait di kitab tersebut (sutasoma) terdapat kalimat yang kemudian kita jadikan sebagai semboya Republik Indonesia, yakni ""Bhinneka Tunggal Ika"" yang berarti berbeda-beda, tetapi tetap satu jua. Semboyan bhinneka tunggal ika merupakan respon dari Mpu Tantular terhadap?",Terhadap Seseorang yg memiliki Perbedaan Tetapi membangun Kesatuan negara yg indah antara Posisi Rendah maupun diatas,0,Jawaban Siswa
Pendidikan Pancasila,narasikan apakah itu bhineka tunggal ika?,Bhineka Tunggal Ika yg berarti berbeda tetapi Tetap menjadi saty Bahwasannya negara kita berpulau pulau dan berbeda beda dengan demikian bersatu yg di Sebut Indonesia,10,Jawaban Siswa
Pendidikan Pancasila,Bhinneka tunggal ika tan hana dharma mangrwa. Coba cari makna atau arti dari kalimat tersebut!,bahwasanya yaitu berbeda beda Tetapi satu itu tidak ada,5,Jawaban Siswa
Pendidikan Pancasila,Indonesia adalah negara yang memiliki penduduk heterogen dengan wilayah kepulauan yang terdiri atas belasan ribu pulau yang satu sama lain dipersatukan oleh selat dan laut. Coba jelaskan apa makna yang terkandung dalam hubungan bangsa Indonesia dengan bhineka tunggal ika?,Indonesia adalah Simbol Tempat . Bhineka Tunggal Ika adalah Berbeda Tetap satu. Bahwasannya Indonesia negara yang bersatu Jika Tidak bersatu negara kita bukan Indonesia namanya,10,Jawaban Siswa
Pendidikan Pancasila,Apakah sebenarnya makna dari BHINEKA TUNGGAL IKA dalam kitab sutasoma tersebut?,Dalam kitab Sutasoma yaitu Tan hana dharma mangrwa,0,Jawaban Siswa
Pendidikan Pancasila,"Makna bhinneka tunggal ika secara kontekstual ialah perbedaan dalam keberagaman dan merupakan kesatuan dari bangsa Indonesia. Kalimat bhinneka tunggal ika mengandung dua unsur, yaitu keberagaman dan kesatuan. Jelaskan!","yg berarti Keberagaman manusia secara bisa di katakan Berbeda mulai dari agama, bangsa, dan berpulau pulau. Dengan Kesatuan semuanya maupun Seperti apa beda Tetapi Tetap ada komunikasi maka itulah bisa di sebut Indonesia",5,Jawaban Siswa
Pendidikan Pancasila,Apa yang kalian ketahui tentang system ekonomi Pancasila?,Sistem ekonomi Pancasila yaitu Pada Lambang ke empat. Padi Dan Kapas Bahwasannya Indonesia memiliki Pangan yg melimpah Dan Rempah yg tak ada bandingnya Jadi begitulah mengapa negara Indonesia sangat di incar incar negara lain,0,Jawaban Siswa
Pendidikan Pancasila,Jelaskan apa makna penting dari gotong royong?,"Gotong Royong sama saja membantu suatu Kesatuan Kelompok Secara cepat dan singkat dan menjadikan Beban menjadi Ringan, begitu Pula Pd saat Penjajahan Dahulu Indonesia Saling bergotong Royong untuk mengeluarkan Penjajahan dari Indonesia",10,Jawaban Siswa
Pendidikan Pancasila,"Konsep gotong royong mengandung makna bekerja sama secara nyata, baik secara fisik maupun nonfisik. Jelaskan apa yang dimaksud dengan gotong royong fisik dan nonfisik! Berikan contohnya!","Contohnya membangun Rumah, alat mesin berat Dan Kerja bakti",0,Jawaban Siswa
Pendidikan Pancasila,"Sebagai identitas budaya bangsa Indonesia, tradisi gotong royong sarat dengan nilai-nilai luhur. Berikut ini nilai-nilai luhur yang terkandung dalam tradisi gotong royong, kecuali",Membayarkan SPP Teman,10,Jawaban Siswa
Pendidikan Pancasila,"Pada salah satu bait di kitab tersebut (sutasoma) terdapat kalimat yang kemudian kita jadikan sebagai semboya Republik Indonesia, yakni ""Bhinneka Tunggal Ika"" yang berarti berbeda-beda, tetapi tetap satu jua. Semboyan bhinneka tunggal ika merupakan respon dari Mpu Tantular terhadap?",Sikap toleransi dan perbedaan yang beragam di masyarakat pada masa kerajaan majapahit,0,Jawaban Siswa
Pendidikan Pancasila,narasikan apakah itu bhineka tunggal ika?,"Secara harfiah, bhinneka artinya keberagaman, tunggal (satu) dan ika artinya itu. Jika digabung menjadi berbeda-beda tetap satu. Secara historis bhinneka tunggal ika ialah semangat bersatu dalam konteks keberagaman agama. Secara kontekstual yaitu perbedaan dalam keberagaman merupakan kesatuan dari bangsa Indonesia",5,Jawaban Siswa
Pendidikan Pancasila,Bhinneka tunggal ika tan hana dharma mangrwa. Coba cari makna atau arti dari kalimat tersebut!,berbeda-beda tetapi tetap satu itu tidak ada,5,Jawaban Siswa
Pendidikan Pancasila,Indonesia adalah negara yang memiliki penduduk heterogen dengan wilayah kepulauan yang terdiri atas belasan ribu pulau yang satu sama lain dipersatukan oleh selat dan laut. Coba jelaskan apa makna yang terkandung dalam hubungan bangsa Indonesia dengan bhineka tunggal ika?,"indonesia terdiri dari berbagai pulau dari Sabang sampai merauke, meskipun begitu Indonesia tetap menjadi satu kesatuan dengan berbagai perbedaan",10,Jawaban Siswa
Pendidikan Pancasila,Apakah sebenarnya makna dari BHINEKA TUNGGAL IKA dalam kitab sutasoma tersebut?,"berbeda beda tetapi tetap satu jua, berisi etika dan nilai moral manusia dalam menghargai perbedaan dan tetap menjadi satu kesatuan dalam keberagaman",10,Jawaban Siswa
Pendidikan Pancasila,"Makna bhinneka tunggal ika secara kontekstual ialah perbedaan dalam keberagaman dan merupakan kesatuan dari bangsa Indonesia. Kalimat bhinneka tunggal ika mengandung dua unsur, yaitu keberagaman dan kesatuan. Jelaskan!","keberagaman merupakan kondisi Indonesia yg beragam mulai dari agama, suku, ras, budaya, adat istiadat. Kesatuan merupakan kenyataan walaupun banyak keberagaman dan perbedaan, tetap harus jadi satu kesatuan.",10,Jawaban Siswa
Pendidikan Pancasila,Apa yang kalian ketahui tentang system ekonomi Pancasila?,ekonomi pancasila merupakan suatu kegiatan yang bersangkutan dengan ekonomi yg berdasarkan nilai nilai pancasila,10,Jawaban Siswa
Pendidikan Pancasila,Jelaskan apa makna penting dari gotong royong?,"Gotong royong merupakan tindakan atau kegiatan yg dilakukan secara bersama sama untuk menciptakan persatuan, kebersamaan dan keharmonisan dengan gotong royong membuat masyarakat menjadi akrab, bersosialisasi dan saling membutuhkan.",10,Jawaban Siswa
Pendidikan Pancasila,"Konsep gotong royong mengandung makna bekerja sama secara nyata, baik secara fisik maupun nonfisik. Jelaskan apa yang dimaksud dengan gotong royong fisik dan nonfisik! Berikan contohnya!","gotong royong fisik merupakan keterlibatan fisik terhadap kegiatan yg dilakukan bersama, contohnya bersih bersih desa. Gotong royong non fisik merupakan kegiatan bersama yg tidak melibatkan fisik, contohnya bertukar ide, saran, dan pendapat",10,Jawaban Siswa
Pendidikan Pancasila,"Sebagai identitas budaya bangsa Indonesia, tradisi gotong royong sarat dengan nilai-nilai luhur. Berikut ini nilai-nilai luhur yang terkandung dalam tradisi gotong royong, kecuali",Kenikmatan,10,Jawaban Siswa
Pendidikan Pancasila,"Pada salah satu bait di kitab tersebut (sutasoma) terdapat kalimat yang kemudian kita jadikan sebagai semboya Republik Indonesia, yakni ""Bhinneka Tunggal Ika"" yang berarti berbeda-beda, tetapi tetap satu jua. Semboyan bhinneka tunggal ika merupakan respon dari Mpu Tantular terhadap?",kemerdekaan indonesia dan nilai bekerja samannya,0,Jawaban Siswa
Pendidikan Pancasila,narasikan apakah itu bhineka tunggal ika?,bersatu kita teguh bercerai kita runtuh atau berbeda beda tetapi tetap satu jua,5,Jawaban Siswa
Pendidikan Pancasila,Bhinneka tunggal ika tan hana dharma mangrwa. Coba cari makna atau arti dari kalimat tersebut!,berasal dari bahasa jawa berbeda beda tapi satu itu tidak ada,5,Jawaban Siswa
Pendidikan Pancasila,Indonesia adalah negara yang memiliki penduduk heterogen dengan wilayah kepulauan yang terdiri atas belasan ribu pulau yang satu sama lain dipersatukan oleh selat dan laut. Coba jelaskan apa makna yang terkandung dalam hubungan bangsa Indonesia dengan bhineka tunggal ika?,"dalam hubungan dengan bangsa indonesia sangat dalam karena semboyan ini bukan Slogan, tetapi fondasi kehidupan dan bernegara.",10,Jawaban Siswa
Pendidikan Pancasila,Apakah sebenarnya makna dari BHINEKA TUNGGAL IKA dalam kitab sutasoma tersebut?,"Kitab kakawin sutasoma karya mpu tantular adalah ajaran tentang persatuan berbeda beda tetapi tetap satu jua, hakikat di tengah perbedaan ajaran",10,Jawaban Siswa
Pendidikan Pancasila,"Makna bhinneka tunggal ika secara kontekstual ialah perbedaan dalam keberagaman dan merupakan kesatuan dari bangsa Indonesia. Kalimat bhinneka tunggal ika mengandung dua unsur, yaitu keberagaman dan kesatuan. Jelaskan!","keberagaman, kita harus menghormati dan menghargai yang berbeda agama. Kesatuan, bangsa indonesia harus bersatu dan tidak boleh berpecah belah",10,Jawaban Siswa
Pendidikan Pancasila,Apa yang kalian ketahui tentang system ekonomi Pancasila?,Lambang ke empat Pancasila yaitu Padi dan kapas yang menunjukkan sistem ekonomi pancasila,0,Jawaban Siswa
Pendidikan Pancasila,Jelaskan apa makna penting dari gotong royong?,makna penting gotong royong yaitu untuk membersihkan seluruh tempat yg ada,0,Jawaban Siswa
Pendidikan Pancasila,"Konsep gotong royong mengandung makna bekerja sama secara nyata, baik secara fisik maupun nonfisik. Jelaskan apa yang dimaksud dengan gotong royong fisik dan nonfisik! Berikan contohnya!",gotong royong fisik itu gotong royong yg agak melelehkan atau berat sedangkan gotong royong non fisik itu gotong royong yg tidak berat dan ringan,0,Jawaban Siswa
Pendidikan Pancasila,"Sebagai identitas budaya bangsa Indonesia, tradisi gotong royong sarat dengan nilai-nilai luhur. Berikut ini nilai-nilai luhur yang terkandung dalam tradisi gotong royong, kecuali",tdk ikut mengikuti gotong royong dan tdk membantu membersihkan yang kotor seperti selokan dan lain lain,0,Jawaban Siswa
Pendidikan Pancasila,"Pada salah satu bait di kitab tersebut (sutasoma) terdapat kalimat yang kemudian kita jadikan sebagai semboya Republik Indonesia, yakni ""Bhinneka Tunggal Ika"" yang berarti berbeda-beda, tetapi tetap satu jua. Semboyan bhinneka tunggal ika merupakan respon dari Mpu Tantular terhadap?","perbedaan ras, suku, bangsa",0,Jawaban Siswa
Pendidikan Pancasila,narasikan apakah itu bhineka tunggal ika?,"bhinneka tunggal ika ialah perbedaan setiap ras, suku, dan budaya",5,Jawaban Siswa
Pendidikan Pancasila,Bhinneka tunggal ika tan hana dharma mangrwa. Coba cari makna atau arti dari kalimat tersebut!,Tanpa membeda-bedakan suku dan ras dan budaya,0,Jawaban Siswa
Pendidikan Pancasila,Indonesia adalah negara yang memiliki penduduk heterogen dengan wilayah kepulauan yang terdiri atas belasan ribu pulau yang satu sama lain dipersatukan oleh selat dan laut. Coba jelaskan apa makna yang terkandung dalam hubungan bangsa Indonesia dengan bhineka tunggal ika?,"kita memang berbeda suku, ras, budaya tetapi kita tetap bersatu tanpa membedakan suku lain",0,Jawaban Siswa
Pendidikan Pancasila,Apakah sebenarnya makna dari BHINEKA TUNGGAL IKA dalam kitab sutasoma tersebut?,Berbeda-beda tetapi tetap satu jua,0,Jawaban Siswa
Pendidikan Pancasila,"Makna bhinneka tunggal ika secara kontekstual ialah perbedaan dalam keberagaman dan merupakan kesatuan dari bangsa Indonesia. Kalimat bhinneka tunggal ika mengandung dua unsur, yaitu keberagaman dan kesatuan. Jelaskan!","Keberagaman yaitu kita memiliki perbedaan ras, suku, bangsa. Kesatuan yaitu kita meskipun berbeda ras, suku, bangsa tetapi kita tetap bersatu",5,Jawaban Siswa
Pendidikan Pancasila,Apa yang kalian ketahui tentang system ekonomi Pancasila?,Sistem ekonomi Pancasila adalah keuangan yang bisa mengatur semua,0,Jawaban Siswa
Pendidikan Pancasila,Jelaskan apa makna penting dari gotong royong?,"gotong royong adalah kita saling bekerja sama untuk tidak membeda-bedakan ras, suku, dan budaya",10,Jawaban Siswa
Pendidikan Pancasila,"Konsep gotong royong mengandung makna bekerja sama secara nyata, baik secara fisik maupun nonfisik. Jelaskan apa yang dimaksud dengan gotong royong fisik dan nonfisik! Berikan contohnya!","Fisik dilakukan secara langsung, contohnya seperti membersihkan lingkungan bersama. Nonfisik yg tidak dilakukan secara langsung, contohnya yang masih dirundingkan.",5,Jawaban Siswa
Pendidikan Pancasila,"Sebagai identitas budaya bangsa Indonesia, tradisi gotong royong sarat dengan nilai-nilai luhur. Berikut ini nilai-nilai luhur yang terkandung dalam tradisi gotong royong, kecuali","Tidak Menolong, Tidak Saling menghargai, Tidak saling menghormati",10,Jawaban Siswa
Pendidikan Pancasila,"Pada salah satu bait di kitab tersebut (sutasoma) terdapat kalimat yang kemudian kita jadikan sebagai semboya Republik Indonesia, yakni ""Bhinneka Tunggal Ika"" yang berarti berbeda-beda, tetapi tetap satu jua. Semboyan bhinneka tunggal ika merupakan respon dari Mpu Tantular terhadap?",Perbedaan suku dan ras,0,Jawaban Siswa
Pendidikan Pancasila,narasikan apakah itu bhineka tunggal ika?,Problemisasi yg dibacakan oleh IR Soekarno,0,Jawaban Siswa
Pendidikan Pancasila,Bhinneka tunggal ika tan hana dharma mangrwa. Coba cari makna atau arti dari kalimat tersebut!,"BHINNEKA TUNGGAL IKA, berbeda beda tetapi tetap satu jua",0,Jawaban Siswa
Pendidikan Pancasila,Indonesia adalah negara yang memiliki penduduk heterogen dengan wilayah kepulauan yang terdiri atas belasan ribu pulau yang satu sama lain dipersatukan oleh selat dan laut. Coba jelaskan apa makna yang terkandung dalam hubungan bangsa Indonesia dengan bhineka tunggal ika?,bhineka Tunggal Ika adalah simbol garuda yg besar dan keberanian dan Tanggung Jawab dengan apapun yg dilakukan,0,Jawaban Siswa
Pendidikan Pancasila,Apakah sebenarnya makna dari BHINEKA TUNGGAL IKA dalam kitab sutasoma tersebut?,"makna BHINEKA Tunggal Ika dalam kitab sutasoma, proklamasi",0,Jawaban Siswa
Pendidikan Pancasila,"Makna bhinneka tunggal ika secara kontekstual ialah perbedaan dalam keberagaman dan merupakan kesatuan dari bangsa Indonesia. Kalimat bhinneka tunggal ika mengandung dua unsur, yaitu keberagaman dan kesatuan. Jelaskan!",keberagaman adalah untuk mengajarkan kebijakan atau Taat kesatuan adalah suatu suku ras kita tetap saudara,0,Jawaban Siswa
Pendidikan Pancasila,Apa yang kalian ketahui tentang system ekonomi Pancasila?,Pengolahan dana,0,Jawaban Siswa
Pendidikan Pancasila,Jelaskan apa makna penting dari gotong royong?,"gotong royong adalah dimana kita bertemu banyak teman, kita ketemu saudara kita yang  beda beda ras dan suku budaya",0,Jawaban Siswa
Pendidikan Pancasila,"Konsep gotong royong mengandung makna bekerja sama secara nyata, baik secara fisik maupun nonfisik. Jelaskan apa yang dimaksud dengan gotong royong fisik dan nonfisik! Berikan contohnya!",gotong royong fisik adalah dimana kita harus ngerjain dengan manual. Gotong royong non fisik adalah dengan mesin potong potong rumput,0,Jawaban Siswa
Pendidikan Pancasila,"Sebagai identitas budaya bangsa Indonesia, tradisi gotong royong sarat dengan nilai-nilai luhur. Berikut ini nilai-nilai luhur yang terkandung dalam tradisi gotong royong, kecuali","menghargai, Tolong menolong, jujur, sopan",0,Jawaban Siswa
Pendidikan Pancasila,"Pada salah satu bait di kitab tersebut (sutasoma) terdapat kalimat yang kemudian kita jadikan sebagai semboya Republik Indonesia, yakni ""Bhinneka Tunggal Ika"" yang berarti berbeda-beda, tetapi tetap satu jua. Semboyan bhinneka tunggal ika merupakan respon dari Mpu Tantular terhadap?","perbedaan ras, suku, budaya, dan bahasa",0,Jawaban Siswa
Pendidikan Pancasila,narasikan apakah itu bhineka tunggal ika?,"Indonesia memiliki banyak ras, suku, budaya, dan bahasa tetapi hanya memiliki satu tujuan yaitu memajukan Indonesia, melestarikan budaya, ras, suku",0,Jawaban Siswa
Pendidikan Pancasila,Bhinneka tunggal ika tan hana dharma mangrwa. Coba cari makna atau arti dari kalimat tersebut!,"Berbeda-beda, keberagaman tetapi tetap menjadi kesatuan",5,Jawaban Siswa
Pendidikan Pancasila,Indonesia adalah negara yang memiliki penduduk heterogen dengan wilayah kepulauan yang terdiri atas belasan ribu pulau yang satu sama lain dipersatukan oleh selat dan laut. Coba jelaskan apa makna yang terkandung dalam hubungan bangsa Indonesia dengan bhineka tunggal ika?,"kita memang berbeda Suku, ras, budaya, dan bahasa tetapi kita tetap menjadi satu tanpa membedakan dan tanpa menjatuhkan satu sama lain",0,Jawaban Siswa
Pendidikan Pancasila,Apakah sebenarnya makna dari BHINEKA TUNGGAL IKA dalam kitab sutasoma tersebut?,Indonesia memang memiliki banyak keberagaman tetapi tetap menjadi kesatuan,0,Jawaban Siswa
Pendidikan Pancasila,"Makna bhinneka tunggal ika secara kontekstual ialah perbedaan dalam keberagaman dan merupakan kesatuan dari bangsa Indonesia. Kalimat bhinneka tunggal ika mengandung dua unsur, yaitu keberagaman dan kesatuan. Jelaskan!","Keberagaman yaitu kita memiliki berbagai perbedaan, berbeda ras, suku, keyakinan, bahasa. Kesatuan yaitu tetapi kita tetap menjadi satu",5,Jawaban Siswa
Pendidikan Pancasila,Apa yang kalian ketahui tentang system ekonomi Pancasila?,Sistem keuangan yang bisa membuat semua itu rata,0,Jawaban Siswa
Pendidikan Pancasila,Jelaskan apa makna penting dari gotong royong?,"gotong royong adalah dimana kita bertemu banyak teman, kita ketemu saudara kita yang  beda beda ras dan suku budaya",0,Jawaban Siswa
Pendidikan Pancasila,"Konsep gotong royong mengandung makna bekerja sama secara nyata, baik secara fisik maupun nonfisik. Jelaskan apa yang dimaksud dengan gotong royong fisik dan nonfisik! Berikan contohnya!","Fisik dilakukan secara langsung, contohnya bersih-besih bersama atau kerja bakti. Non fisik tidak dilakukan secara langsung, contohnya mengumpulkan dana talangan",5,Jawaban Siswa
Pendidikan Pancasila,"Sebagai identitas budaya bangsa Indonesia, tradisi gotong royong sarat dengan nilai-nilai luhur. Berikut ini nilai-nilai luhur yang terkandung dalam tradisi gotong royong, kecuali","Sikap individualisme, bersaing secara bebas, mengharap imbalan",10,Jawaban Siswa
