question,answer,score
jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,laporan hasil observasi adalah untuk menejlaskan suatu kejadia dan di jelaskan hasil observasi itu dengan secara detail,10
sebutkan tiga ciri utama dari teks laporan hasil observasi,lucu meggelitik,10
apa tujuan dibuatnya teks laporan hasil observasi jelaskan secara sederhana,menceritakan hasil observasi itu,10
jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu,menjelaskan suatu pemohonan,10
sebutkan dua ciri yang selalu ada dalam teks anekdot,karya sastra lama,10
sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,memahami suatu struktur secara detail,10
apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,menjelaskan suatu penemuan lama dan di jelaskan penerima lama itu dengan secara detail,10
sebutkan tiga ciri khas hikayat sebagai karya sastra lama,waktu penemuan usia karya itu,10
sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,menjelaskan suatu penerima dan karya sastra lama,10
dari ketiga jenis teks lho anekdot hikayat pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut berdasarkan pemahamanmu,lho menceritakan suatu cerita yang dibuat,10
jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,berbicara sopan santun,10
sebutkan tiga ciri utama dari teks laporan hasil observasi,menjaga toleransi menolong dan membantu orang sakit,10
apa tujuan dibuatnya teks laporan hasil observasi jelaskan secara sederhana,membicarakan hal sesuatu,10
jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu,teks laporan,10
sebutkan dua ciri yang selalu ada dalam teks anekdot,laporan pehaman,10
sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,kata kata,10
apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,muslim,10
sebutkan tiga ciri khas hikayat sebagai karya sastra lama,melukis,10
sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,toa,10
dari ketiga jenis teks lho anekdot hikayat pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut berdasarkan pemahamanmu,untuk memikir sesuatu,10
jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,teks laporan hasil observasi adalah teks yg kita tulis dari melihat atau menonton sesuatu seperti hewan tumbuhan dsb atau penjelasan secara rinci,10
sebutkan tiga ciri utama dari teks laporan hasil observasi,bersifat objektif disusun sistematis ditulis berdasarkan fakta,10
apa tujuan dibuatnya teks laporan hasil observasi jelaskan secara sederhana,agar memberikan informasi faktual tentang suatu objek pengamatan,10
jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu,teks anekdot cerita singkat yg lucu atau menyindir,10
sebutkan dua ciri yang selalu ada dalam teks anekdot,mengandung humor berdasarkan kejadian yg hampir nyala,10
sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,abstrak orientasi krisis reaksi koda,10
apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,hikayat adalah cerita klasik yg berisi tentang tokoh hebat biasanya banyak kejadian,10
sebutkan tiga ciri khas hikayat sebagai karya sastra lama,mengandung unsur fantastik bersifat turun temurun cerita berdasarkan kejadian,10
sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,tema tokoh alur latar amanat,10
dari ketiga jenis teks lho anekdot hikayat pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut berdasarkan pemahamanmu,nilai moral krisis sosial informasi penting pelajaran hidup yg ingin disampaikan si penulis,10
jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,laporan hasil observasi adalah teks yang berisi penjabaran umum atau laporan faktual tentang suatu objek,10
sebutkan tiga ciri utama dari teks laporan hasil observasi,bersifat objektif berdasarkan fakta disusun secara sistematis,10
apa tujuan dibuatnya teks laporan hasil observasi jelaskan secara sederhana,untuk menyajikan informasi data dan fakta secara objektif tentang suatu objek atau fenomena,10
jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu,cerita singkat yang lucu dan mengsankan biasanya berdasarkan kejadian nyata,10
sebutkan dua ciri yang selalu ada dalam teks anekdot,humor yg mengkritik sindiran halus,10
sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,abstrak gambaran umum orientasi menunjukkan latar belakang krisis puncak cerita yang berisi masala konflik reaksi tanggapan atau respon karakter krisis koda bagian penutup yg berisi kesimpulan,10
apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,karya sastra melayi lama berbentuk prosa yg berisi cerita undang undang atau silsilah,10
sebutkan tiga ciri khas hikayat sebagai karya sastra lama,bersifat istanasentris pralogis menggunakan bahasa melayu lama,10
sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,abstraksi orientasi komplikasi evaluasi resolusi koda,8
dari ketiga jenis teks lho anekdot hikayat pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut berdasarkan pemahamanmu,teks anekdot hiburan yang dibungkus kritik sosial sindiran halus dan pesan moral atau amanat,10
jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,laporan hasill pengamatan yg mencatat secara fakta berdasarkan objektif dn strukturnya,10
sebutkan tiga ciri utama dari teks laporan hasil observasi,objektif sistematis kontrenatif,5
apa tujuan dibuatnya teks laporan hasil observasi jelaskan secara sederhana,memberikan informasi menganalisis mengevaluasi,10
jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu,cerita singkat lucu dn menarik biasanya yata,0
sebutkan dua ciri yang selalu ada dalam teks anekdot,humor yg mnegeritik sindiran halus,10
sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,pembuka isi penutup,10
apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,cerita pendek yg mengunakan bahasa melayu menceritakan pertualangan pahlamawan,10
sebutkan tiga ciri khas hikayat sebagai karya sastra lama,bersifat instanisentres prlogis mengunakan bahasa melayu lama,10
sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,abstraksi orientasi famlikasi eramlikasi revolusi koda,5
dari ketiga jenis teks lho anekdot hikayat pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut berdasarkan pemahamanmu,nilai moral berhubungan dgn baik buruk prilaku jujur sabar tamak teks anekdot hiburan yg dibungkus kritik sosial sindiran halus dn pesan moral amanat,10
jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,hasil teks observasi itu seperti teks deskripsi dengan mencatat sebuah benda dengan rinci,10
sebutkan tiga ciri utama dari teks laporan hasil observasi,bersifat objektif disusun sistematis ditulis berdasarkan fakta,10
apa tujuan dibuatnya teks laporan hasil observasi jelaskan secara sederhana,agar dapat mengenali benda asing,0
jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu,teks anekdot adalah teks yang berisi sesuatu lelucon atau candaan dengan bahasa yang sederhana,10
sebutkan dua ciri yang selalu ada dalam teks anekdot,mengandung humor berdasarkan kejadian yang hampir nyata,10
sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,artefak orientasi,0
apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,hikayat adalah teks berisi cerita laman atau fiksi yang menggunakan bahasa melayu lama,10
sebutkan tiga ciri khas hikayat sebagai karya sastra lama,mengandung unsur tethenik bersifat turun menurut berdasarkan kejadian,10
sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,tema tokoh alur latar amanat,0
dari ketiga jenis teks lho anekdot hikayat pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut berdasarkan pemahamanmu,nilai moral krisis sosial informasi penting pelajaran hidup yang disampaikan si penulis,0
jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,laporan berisi fajta dan hasil pengalaman,10
sebutkan tiga ciri utama dari teks laporan hasil observasi,fakta teratur dan menggunakan bahasa baku,10
apa tujuan dibuatnya teks laporan hasil observasi jelaskan secara sederhana,menyampaikan fakta hasil pengamatan,0
jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu,cerita pendek yang lucu sekaligus menyindir,10
sebutkan dua ciri yang selalu ada dalam teks anekdot,menyindir dan lucu,10
sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,abstraksi pembuka orientasi mengenalkan kritik masalah reaksi penyelesaian koda penutupan,10
apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,cerita tradisional tentang tokoh luar biasa dengan unsur positif,10
sebutkan tiga ciri khas hikayat sebagai karya sastra lama,mengandung unsur istimewa khayal dan tokoh,0
sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,mengantar isi peristiwa penting,0
dari ketiga jenis teks lho anekdot hikayat pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut berdasarkan pemahamanmu,hikayat karena menceritakkan kisah kisah jaman dulu,0
jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,adalah teks yg berisi laporan hasil dari pengamatan observasi,10
sebutkan tiga ciri utama dari teks laporan hasil observasi,menggunakan bahasa yg baku menggunakan cara yg sistematis pembahasan,10
apa tujuan dibuatnya teks laporan hasil observasi jelaskan secara sederhana,untuk mendapatkan informasi,10
jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu,adalah cerita singkat yg berisi pujian kritikan pada suatu prilaku kebijakan dg cara menghibur dan ttp ada pesan moralnya,10
sebutkan dua ciri yang selalu ada dalam teks anekdot,cerita singkat sindiran,10
sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,abstraksi gambaran cerita orientasi latar cerita memperkenalkan tokoh tempat dan waktu krisis bagian inti cerita reaksi tanggapan koda penutup cerita,10
apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,adalah karya sastra prosa melayu lama yg berisi cerita undang undang yg bersifat keagamaan rekaan dan historis,10
sebutkan tiga ciri khas hikayat sebagai karya sastra lama,mustahil istanasentris anonoim,10
sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,abstraksi gambaran cerita orientasi latar cerita komplikasi bagian inti masalah evaluasi bagian pembenaran resolusi solusi dalam cerita koda penutup,10
dari ketiga jenis teks lho anekdot hikayat pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut berdasarkan pemahamanmu,penulis dapat mengirim pesan berupa pujian kritikan dg hal lucu dan sarkas kpd siapa saja,10
jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,menjelaskan ciri ciri umum dari satu objek atau fenomena berdasarkan hasil pengamatan langsung objeknya bisa berupa benda hewan tumbuhan dan fenomena alam,10
sebutkan tiga ciri utama dari teks laporan hasil observasi,bersifat objektif penyusunan teks nya sistematis dan berdasarkan fakta hasil pengamatan,10
apa tujuan dibuatnya teks laporan hasil observasi jelaskan secara sederhana,memberikan informasi yang objektif faktual dan rinci kepada pembaca tentang objek fenomena atau peristiwa berdasarkan hasil pengamatan ilmiah atau penelitian degan tujuan menngulaisifikasi dokumen tasikan fakta menjadi sumber data terpercaya untuk analisis atau pengambilan keputusan,10
jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu,teks anekdot adalah cerita singkat yang bersifat lucu atau menyindir biasanya digunakan untuk mengkritik prilaku kebijakan atau keadaan tertentu dengan cara yang menghibur tetapi tetap memiliki pesan moral,10
sebutkan dua ciri yang selalu ada dalam teks anekdot,humor elemen lucu yang membuat cerit amenghibur cerita singkat narasi ringkasan yang menyampiakan pesan,10
sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,abstraksi bagian pembuka yang memberi gambaran umum isi cerita biasanya untuk menarik perhatian prientasi bagian yang mengenalkan latar belakang seperti siapa tokohnya kapan dan dimana peristiwa terjadi krisis momen puncak konflik atau masalah yang membuat arti lucu dan reaksi tanggapan atau respon tokoh terhadap krisis seringkali disajikan dengan cara yang tidak terduga koda penutup cerita yang berisi kesimpulan pesan moral atau sindiran bagian bersikap opsional,10
apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,hikayat merupakan karya sastra melayu klasik berupa plosa juga merupakan rekan berisi cerita silsilah dan undang undang yang bersifat historis keagamaan dan lain lain,10
sebutkan tiga ciri khas hikayat sebagai karya sastra lama,menggunakan bahasa melayu lama bersifat istanafis atau pusat cerita beradi di lingkungan kerja pralogis atau banyak cerita yang tidak dapat diterima oleh akal,10
sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,mengantar isi peristiwa penutup,10
dari ketiga jenis teks lho anekdot hikayat pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut berdasarkan pemahamanmu,memberikan pesan untuk terus anekdot memberi pesan pesan moral kritik kritik ingin disampaikan penulis melalui cerita lucu dan menyindir,10
jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,laporan berisi fakta dan hasil pengamatan,10
sebutkan tiga ciri utama dari teks laporan hasil observasi,fakta teratur dan jelas bahasa baku,10
apa tujuan dibuatnya teks laporan hasil observasi jelaskan secara sederhana,menyampaikan fakta hasil pengamatan,10
jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu,cerita pendek yg lucu sekaligus menyindir,10
sebutkan dua ciri yang selalu ada dalam teks anekdot,lucu menyindir,10
sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,abstraksi pembuka orientasi mengenalkan kritik masalah reaksi penyelesaian koda penutupan,10
apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,cerita tradisional tentang tokoh luar biasa dg unsur positif,0
sebutkan tiga ciri khas hikayat sebagai karya sastra lama,mengandung unsur khayal tokoh istimewa,10
sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,mengantar isi pristiwa pneutup,10
dari ketiga jenis teks lho anekdot hikayat pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut berdasarkan pemahamanmu,hikayat karean menceritakan kisah kisah jaman dulu,10
jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,teks yg melaporkan sebuah hasil dari pengamatan observasi,10
sebutkan tiga ciri utama dari teks laporan hasil observasi,tujuan untuk mendaat informasi berisi fakta menggunakan bahasa baku,10
apa tujuan dibuatnya teks laporan hasil observasi jelaskan secara sederhana,menyampaikan fakta hasil pengamatan,10
jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu,cerita pendek yang lucu sekaligus menyindir,10
sebutkan dua ciri yang selalu ada dalam teks anekdot,mengandung unsur lucu mengeritik atau sindiran,10
sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,abstraksi pembuka cerita orietasi mengenalkan situasi dan tokoh,10
apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,hikayat cerita tradisional tentang tokoh luar biasanya dengan unsur fantasi,10
sebutkan tiga ciri khas hikayat sebagai karya sastra lama,tokoh istimewah mengandung unsur khayalan melayu klasik,10
sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,pengantar isi pristiwa penutup,10
dari ketiga jenis teks lho anekdot hikayat pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut berdasarkan pemahamanmu,,0
jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,text yg berisi suatu objek dn peristiwa yg di susun secara sistematis dn terstruktur,10
sebutkan tiga ciri utama dari teks laporan hasil observasi,di susun secara sistematis bersifat objektif berdasarkan fakta,10
apa tujuan dibuatnya teks laporan hasil observasi jelaskan secara sederhana,untuk menyampaikan informasi faktual kepada pebaca agar bisa di lihat dengan jelas,10
jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu,text yg bersifat lucu,0
sebutkan dua ciri yang selalu ada dalam teks anekdot,memiliki dasar lucu mempunyai pesan moral,0
sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,abstraksi pembukaan orientasi awal terjadinya krisis permasalahan reaksi penyelesaian masalah koda penutup pesan moral,10
apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,hikayat adalah karya sastra lama yg memiliki kisah atau crita,0
sebutkan tiga ciri khas hikayat sebagai karya sastra lama,tokoh tokoh nya memiliki keajaiban atau kesaktian tokoh tokohnya istimewa gagah pemberani dll latar belakangnya pd masa lampau,10
sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,orientasi pengenalan tokoh tokoh komplikasi awal terjadinya masalah resolusi penyelesaian masalah koda penutup,10
dari ketiga jenis teks lho anekdot hikayat pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut berdasarkan pemahamanmu,anekdot karena cerita ini memiliki unsur lucu dn pesan moral,10
jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,kata yang digunakan sehari hari,0
sebutkan tiga ciri utama dari teks laporan hasil observasi,anetdok hikatar karya sastra,0
apa tujuan dibuatnya teks laporan hasil observasi jelaskan secara sederhana,untuk menyampaikan informasi,0
jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu,bersifat lucu,0
sebutkan dua ciri yang selalu ada dalam teks anekdot,sastra lama baku,0
sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,struktur yang singkat tapi mudah dipahami,0
apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,hikayat ada suatu teks laporan observasi,0
sebutkan tiga ciri khas hikayat sebagai karya sastra lama,teks yang tidak bisa di ubah cara legenda mitor,0
sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,,0
dari ketiga jenis teks lho anekdot hikayat pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut berdasarkan pemahamanmu,pembicara para koruptor tikus tikus berdasi,0
jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,teks yang berisi narasi,0
sebutkan tiga ciri utama dari teks laporan hasil observasi,panjang jelas simple,0
apa tujuan dibuatnya teks laporan hasil observasi jelaskan secara sederhana,agar bisa di lakukan dg baik,0
jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu,tek yang berisi narasi,0
sebutkan dua ciri yang selalu ada dalam teks anekdot,jelas dan rapih,0
sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,tek yang,0
apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,crita hikayat,0
sebutkan tiga ciri khas hikayat sebagai karya sastra lama,berbahasa melayu kuno agresif,0
sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,berbahasa mlayu kuno,0
dari ketiga jenis teks lho anekdot hikayat pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut berdasarkan pemahamanmu,hikayat,0
jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,dokumen tertulis yang berisi informasi yg di catat dan di susun ecara sistematis sbgai hasil dari pengamatan atau peninjauan langusng observasi terhadap suatu objek atau kegiatan tertentu,10
sebutkan tiga ciri utama dari teks laporan hasil observasi,faktual dan objektif sistematis dan terstruktur lengkap dan universal,10
apa tujuan dibuatnya teks laporan hasil observasi jelaskan secara sederhana,untuk menyampaikan informasi faktual dan terperinci mengenai suatu objek kegiatan atau peristiwa yang telah di amati secara langsung,10
jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu,cerita singkat yang menarik karna lucu dan mengesankan yang umumnya berisi kritik atau sindiran terhadap kebiijakan,10
sebutkan dua ciri yang selalu ada dalam teks anekdot,mengandung unsur humor kelucuan mengandung kritik atau sindiran,10
sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,abstrakasi memberikan gamabran umum mengenai isi teks anekdot orientasi menunjukan latar belakang kejadian atau awal mula maslaah yang akan di kritik krisis bagian inti cerita yang berisi puncak masalah atau kekonyolan yang menganudng unsur lucu sekaligus kritik reaksi bagian yang menjelaskan cara tokoh menyelesaikan menanggapi masalah yang timbul atau bagian krisis koda bagian penutup cerita kadang berisi perubahan yang terjadi pada tokoh atau sekedar penegasan ulang,10
apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,hikayat adalah karya sastra lama prosa lama yang bersal dari melayu yang isinya berupa cerita dongeng atau kisah tentang kehidupan para raja pahlawan dewa dewi atau orang perkasa di masalalu,10
sebutkan tiga ciri khas hikayat sebagai karya sastra lama,kemustahilan istana sentris anonim,10
sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,eksposisi orientasi komplikasi permsalahan kimakas resolusi koda,10
dari ketiga jenis teks lho anekdot hikayat pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut berdasarkan pemahamanmu,hikayat biasanya tentang nilai moral akhlak nilai budaya nilai sosial dan nilai religius keagamaan,10
jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,teks yang berisi penjelasan informasi,10
sebutkan tiga ciri utama dari teks laporan hasil observasi,klasifikasi bagian manfaat,10
apa tujuan dibuatnya teks laporan hasil observasi jelaskan secara sederhana,biar pembaca mendapatkan informasi,10
jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu,teks yang berisi cerita lucu,0
sebutkan dua ciri yang selalu ada dalam teks anekdot,menggunakan pasis kerja aktif,0
sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,menentukan objek mencatat hasil pengamatan,0
apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,teks yang menceritakan tidak benar hoax,0
sebutkan tiga ciri khas hikayat sebagai karya sastra lama,abstrak orientasi reaksi,0
sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,,0
dari ketiga jenis teks lho anekdot hikayat pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut berdasarkan pemahamanmu,,0
jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,teks yang mendeskripsikan ciri umum suatu objek dari hasil pengamatan langsung,10
sebutkan tiga ciri utama dari teks laporan hasil observasi,disusun secara sistematis terdapat perincian bagian suatu objek berisi pembahasan suatu objek,10
apa tujuan dibuatnya teks laporan hasil observasi jelaskan secara sederhana,sebagai data hasil pengamatan dan sebagai dasar memustukan suatu hal,0
jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu,teks cerita singkat yg bersifat lucu menyindir biasa diguanakan untuk mengkritik perilaku kebijakan keadaan tertentu,10
sebutkan dua ciri yang selalu ada dalam teks anekdot,cerita singkat menyindiri,10
sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,abstraksi gambaran awal isi cerita orientasi latar serta pengenalan tokoh krisis puncak suatu masalah reaksi tanggapan cara tokoh menghadapi masalah koda penutup dan kesimpulan,10
apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,hikayat merupakan kasrya sastra melayu klasik berupa prosa,10
sebutkan tiga ciri khas hikayat sebagai karya sastra lama,menggunakan bahasa melayu lama bersifat istanosentris prologis,10
sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,abstraksi gambaran awal isi cerita orientasi pengenalan tokoh latar dan tempat komplikasi mualinya muncul permasalahan koda penutup dan kesimpulan,10
dari ketiga jenis teks lho anekdot hikayat pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut berdasarkan pemahamanmu,hikayat pesan nilai yg sering ingin disampaikan yaitu seperti hal hal apapun yang ada pd zaman keistanaan dan tidak ditemukan pd msa sekarang,10
jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,teks hasil observasi adalah teks yang dokumpulkan jadi satu dan dijadikan observasi untuk laporan,10
sebutkan tiga ciri utama dari teks laporan hasil observasi,menggunakan bahasa baku merupakan teks untuk laporan daat dipahami oleh pembaca,10
apa tujuan dibuatnya teks laporan hasil observasi jelaskan secara sederhana,untuk laporan hasil observasi yang dilakukan,0
jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu,teks anekdot sebuah kalimat yang utnuk digunakan bercerita ecramah dll,10
sebutkan dua ciri yang selalu ada dalam teks anekdot,dapat dipahami oleh pembaca pendengar mudah dimengerti,10
sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,pembukaan untuk memulai deskripsi pesan yang akan disampaikan koda untuk pesan inspiratif,0
apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,hikayat yaitu cerit apendek dan alurnya nyambung dapat dipahami oleh pembaca,0
sebutkan tiga ciri khas hikayat sebagai karya sastra lama,menggunakan alur maju mundur menggunakan bahasa yang jelas mudah dimengerti,0
sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,koda bagian paragraf pertama pembukaan,5
dari ketiga jenis teks lho anekdot hikayat pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut berdasarkan pemahamanmu,hikayat pesan ynag bisa disampaikan motivasi inspiratif untuk pembaca,0
jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,pengertian teks yg berisi penjabaran umum dan pelaporan hasil pengamatan,10
sebutkan tiga ciri utama dari teks laporan hasil observasi,objek dan ilimiah bahasa baku dan ilmiah sistematis dan terstruktur,10
apa tujuan dibuatnya teks laporan hasil observasi jelaskan secara sederhana,tujuan dibuatnya untuk melaporkan hasil pengamatan secara sistematis agar dp di pahami dan di gunakan sebagai landasan untuk tindakan pemahaman lebih lanjut,10
jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu,teks anekdot adalah tulisan singkat berisi verita lucu sindiran,10
sebutkan dua ciri yang selalu ada dalam teks anekdot,cerita singkat humor,10
sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,abstrak pembuka dari sebuah cerita orientasi menjelaskan latar tokoh dan sitasi krisis bagian dari kejadian lucu tegang reaksi seorang tokoh memberi repson koda penutup dari sebuah cerita,10
apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,hikayat adalah karya sastra melayu klasik hikayat termasuk ke dlm teks cerita rakyat juga cerita percakapan berisi cerita sisilah uud yg bersifat sejarah keagamaan dll,10
sebutkan tiga ciri khas hikayat sebagai karya sastra lama,bersifat intanosentaris proosis tdk logis strais logis,10
sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,abstrak orientasi krisi rekasi koda,10
dari ketiga jenis teks lho anekdot hikayat pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut berdasarkan pemahamanmu,lho adalah laporam yg biasanya digunakan dlm cerita hikayat,10
jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,sebuah teks observasi yg ada pada ceritanya dan ada pada kalimat pertama,10
sebutkan tiga ciri utama dari teks laporan hasil observasi,latar waktu tempat tokoh nya,0
apa tujuan dibuatnya teks laporan hasil observasi jelaskan secara sederhana,biyar bisa mengetahui apa itu teks observasi dan apa itu teks observasi,0
jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu,teks yang ada kalimat pertamanya dan telahir nya,0
sebutkan dua ciri yang selalu ada dalam teks anekdot,ciri cirnya ada pada kalimat pertamanya,0
sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,kalimat awal kalimat akhir yg ada pada teks anekdot,0
apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,sebuah cerita atau kalimat,0
sebutkan tiga ciri khas hikayat sebagai karya sastra lama,sebuah kalimat cerita unsur hikayat,0
