username,sentence,food_quality,price,service,ambiance,portion
Alfiatu Saadah,"pelayanan yang sangat memuaskan, tempatnya juga oke si",neutral,positive,neutral,neutral,neutral
Cesa 333,niceeeee aku suka banget,neutral,neutral,neutral,neutral,neutral
Rina,pulang kerja pesen mie gacoan di takeaway.tapi pelayanan kurang ramah masa iya dilempar cara ngasinya aku pesen 3 ada tambahanya 1 . seenak²nya apapun makanannya semurah apapun makanannya kalo pelayanan kek gitu jd kapok dateng kesitu lg.secapek² nya kerja harus punya etika di customer .perlu di brifing lagii,positive,positive,neutral,neutral,negative
elva yulieta natasya,"pelayanan terbaik, complain cepat tanggap langsung diatasi",neutral,neutral,positive,neutral,neutral
Haikal Putra,enakkk bangetttt prlayanan oke,positive,positive,neutral,neutral,neutral
Kaysya Syahila,"pelayanan baik,rasa makanannya pun enak",positive,neutral,positive,neutral,neutral
Husnul Chotimah (Husnul Chotimah),"pelayanan cepat, rasa oke dan harga ramah dikantong",neutral,positive,positive,neutral,neutral
Nastar Nanas,"makanan enak dan konsisten rasanya. parkiran luas, pelayanan ramah",positive,neutral,positive,positive,neutral
Robby Dermawan,"makanan enak², tp pelayanan agak lama",positive,neutral,negative,neutral,neutral
rika iriyanti,bintang 1 untuk pelayanananya. seharusnya dengan outlet yang baru saja dibuka dan sistem pemesanan dan pembayaran yg berbeda dari gacoan di outlet lainnya harus juga memadai dari segi penginformasiannya baik dari kualitas dan kuantitas. untuk org penginformasi di awal harus benar benar jelas agar ga miskom. gada pengarahan tempat duduk dibagian mana jdi kita customer harus cari sendiri dengan sebegitu banyak kursi yg ada. kurang merangkul kita sebagai customer malah terkesan menyalahkan. padahal saat sampai tdk ada penginformasian yg jelas dengan kondisi outlet yg sangat ramai. belum lagi mba mba saat itu sewot karna ada miskom! untungnya ada mba mba yg keliling untuk ngebantu kita. dan pesanan sempat tertukar levelnya. untung makan dengan keluarga sendiri. klo org lain bisa repot.,neutral,neutral,positive,neutral,neutral
Anita Anggraini,"mienya enak, tempatnya nyaman dan bersih, pegawainya ramah dan cepat",positive,neutral,positive,positive,neutral
salsaa,enak bangett apalagi pelayanannya best banget,positive,neutral,neutral,neutral,neutral
Rizki Fendi,pelayanannya ramah mie nya enak tingkat kematangnnya pas,positive,positive,positive,neutral,positive
Mei Fira,"meskipun waiting list lama, tapi waktu nunggu di meja cepet banget xixi",neutral,neutral,neutral,neutral,neutral
Made Artha,"tempatnya nyaman, pelayanan ramah, makanyan enak semuanyaa",positive,neutral,positive,positive,neutral
Dewi Santi,"kalau harga mie dll ok .untuk masalah parkir,di tiket parkir kan ada tulisan jika tiket parkir hilang kena denda 13.000rb kok saya di suruh bayar 28.000 apakah emang kebijakannya?cuma tanya saja jika saya salah mohon maaf",neutral,neutral,neutral,neutral,neutral
Lia Lia,makanannya enak pelayanan ramah sukaa,positive,neutral,positive,neutral,neutral
Devyeta Nirmala Utami,"pelayanannya bagus,ramah",neutral,neutral,positive,positive,neutral
Kharisma Izza,cintaaaaaa baangettt sama gacoan pelaayaaanaan cepatttt,neutral,neutral,positive,neutral,neutral
Zamrozy Haris,pelayanan nya sangat ramah dan suasananya nyaman dan makanannya nya pun sangat enak,positive,neutral,positive,positive,neutral
Novian Hendarwangi,cemilannya best pelayanannya dari awal masuk ramah banget csnya solutif banget untuk saya yg masih ada anak balita,neutral,neutral,positive,neutral,neutral
Firman maulana,"sekelas mie gacoan masa sih bungkusnya masih pake sterofom udah gitu di karetin lagi, kalau menurutku rasanya sih ga jauh beda sama intermie.",neutral,neutral,neutral,neutral,neutral
Zar,"mie gacoan level 1 aj tpi udah pedess, kyak level 2 di wixxme. parkiran luass pesen dimsum, minum dan mie,, kyakny hampir 25 menit pesenan belum diantar dipanggil, guest pager pun tidak berbunyi. ternyata pesanan kami udah mw dingin di tempat self service! kualitas layanan itu beda jauh dgn wixxme. entah kekurangan karyawan atw manajemen kurang bagus trainingnya, yg pasti mie gacoan banyuwangi harus segera berbenah. kami liat gak cuman pesanan kami aj yg dianggurin. banyak.",neutral,positive,neutral,positive,positive
ikrom saputra,"suasana kurang nyaman, percuma ada tulisan dilarang merokok tapi banyak vape atau rokok electric",neutral,neutral,neutral,positive,neutral
Heriyanto,"datang dikasih nomor meja buat yang dine in. pemesanan scan barcode di meja dan bisa bayar pakai qris. nunggu cuman 15 menit aja. rasanya enak tapi kayak beda rasa dengan yang di malang. tempatnya bersih. parkir motor 2rb. 29 mei 2025, 13.10",positive,neutral,neutral,positive,neutral
Musa Al Ikhbat (SAMUUU),untuk pelayanan bagus dan worth it lah buat makan disiniii,neutral,positive,neutral,positive,neutral
Lukmandwif Febrianto,20.16 antre dine in 20.49 get table number 20.52 order n payment 21.13 makanan dtg 21.18 take minuman crowded tp semua terlayani dg baik semua pelayan full senyum rasa dan pelayanan,neutral,neutral,positive,neutral,neutral
Indah Rizki Hariani,"pelayanannya termasuk cepat sih, padahal baru grand opening kalau bisa dipercepat lagi biar nunggunya cepet kalau takeaway",neutral,neutral,positive,neutral,neutral
Sudar Mono,"udang rambutanya bad, beda sama gacoan yg lainya , kurang matang dan kebanyakan tepung !!!",neutral,neutral,neutral,neutral,neutral
alan nobita,"awal2 kecepatannya oke belakangan ini mienya selesai duluan minuman dan makanan tambahanny banget . mie udah habis masih nunggu minuman dan dinsumnya lama mungkin kedepan diperbaiki, minimal mie dan minuman bisa keluar bareng.",neutral,positive,positive,neutral,neutral
Salman fais,makanannya enak,positive,neutral,neutral,neutral,neutral
Talita Alodia,"pelayanan nya bagus, makanan enak, josjis pokok nya",positive,neutral,neutral,positive,neutral
Rofi Affandi,"seru sih kalo pesen yang pagi. gak perlu antri terus cepet juga. cuman kurang satu pas pesen lvl 3 biasnya udh pedes, tp kali ini gak pedes lebih ke terlalu manis. but, its no bad.",negative,positive,neutral,neutral,neutral
Alvino Bre,"saya kesini bersama orang yang membuat suasana hati saya bahagia,dan pelayanan yng cepat dan makanan yang enak",positive,neutral,positive,neutral,neutral
Lienahijab Bwi,okeewww ngga perlu keluar kota lg klo lg pengen gacoan,neutral,positive,neutral,neutral,neutral
Ellie Dynar,"suka es petak umpetnya super seger banget,, manisnya pas ga terlalu manis,,",negative,positive,neutral,neutral,positive
Sovi Ayu,good semua!! sukses gacoan bwi,neutral,neutral,neutral,neutral,neutral
Dandi Prabu Wira Kusuma,sekelas gacoan karyawan bad service bgt gaada inisiatif ngebantu customer yg kesusahan malah cuek,neutral,neutral,negative,neutral,neutral
sumaryata sumaryata,"rasanya aneh, full tepung karna gak mateng rata. dalemnya ada tepung pangsitnya kaya stok sisa tapi digulung lagi jadi ketumpuk. pantesan ukurannya jadi gede banget.",negative,neutral,neutral,neutral,neutral
Ulil Azmi,"pelayanan untuk minuman lama, makanan sudah habis minum belum jadi",neutral,neutral,negative,neutral,neutral
Noval Arsyafin,pelayanan di sini ramah dan mekanannya banyak dan enak,positive,neutral,positive,neutral,positive
Ahmad Bahrun Nurillah,untuk rasa gacoan nya enak karena saya ngambil level 1 karena ga terlalu suka pedas insyaallah next time kesini lagi.,positive,neutral,neutral,neutral,neutral
jonny pranata,"pelayanan buruk!!! kronologi saya datang tanpa di arahkan, jadi saya langsung antri ke kasir maklum agak lupa aturan makannya saat sudah waktunya saya antri, eh sama kasir di suruh ambil nomor meja dulu kenapa ga ngomong dari awal helloww??? lalu tiba2 mas yang pakai topi itu nyuruh saya scan qris di meja yang sudah saya ambil nomornya, kenapa ga bilang dari awal haloo mas?? apakah ada sop nya ga gacoan di banyuwangi? saya berkunjung di gacoan tempat lain, tidak seperti ini, sangat disayangkan solusi harusnya dari awal pengunjung yang datang pangsung di arahkan dengan sopan dan senyum mau makan dine in atau take away intinya itu aja lol",positive,neutral,neutral,positive,neutral
dela dwi selfitri,"pelayanann yang ramah, tempat yang bersih, makannanya juga enak enak",neutral,neutral,positive,positive,neutral
erna wati,"makanannya sangatt lezat, tempatnya sangat nyaman. karyawannya juga sangat ramahh dan sopan.",positive,neutral,positive,positive,neutral
Agam Bareta Yogatama,"ada kucing di lokasi makan, mengganggu kenyamanan, petugas hanya abai. mohon bantuannya terimakasih",neutral,neutral,neutral,positive,neutral
Yuniatul Qomariyah,"pelayanan ramah,,baru pertama kali ksini pelayanan ramah skali",neutral,neutral,positive,neutral,neutral
rachel chelciaa,"sangat puass, makanan nya enak, pegawai nya ramah",positive,neutral,positive,neutral,neutral
Dita Dwikw,"makanannya enak , pelayanan juga sangat ramah , tetapi kadang kalau rame harus menunggu tempat",positive,neutral,positive,neutral,neutral
Nana Dut,"pelayanannya ramah,makanannya enak semua",positive,neutral,positive,neutral,neutral
fitriyah firdiansyah,makanannya sih enak2 tapi isian porsi pangsitnya makin kesini makin minimalis beda pas awal2 launching isi pangsitnya gemoy2,positive,positive,neutral,neutral,positive
Alfin Fadilah Risky,pelayanan nya baik,neutral,neutral,positive,neutral,neutral
Persib Juara,"pelayanan sudah cukup bagus ,untuk makanan juga dari segi rasa enak , untuk tempat lumayan luas dan nyaman, cuma kalo bisa tambahin outdoor nya biar agak luas",positive,neutral,neutral,positive,positive
Ahmadiyanto Adi,mantap josss,positive,neutral,neutral,neutral,neutral
Yuninda Findi,"akhirnya hadir di banyuwangi kota. rasa enak, harga murah. semoga terus ada.",positive,positive,neutral,positive,neutral
Avriliani Zwei Jasmine,"pelayanannya bagus, makanannya enak dan tempatnya juga nyaman",positive,neutral,positive,positive,neutral
Shin Ta,pelayanannya bagus dan makanannya enak,positive,neutral,positive,positive,neutral
Wardha Kharisma Citra,"menurut saya dari segi mienya terlalu over cook, dan untuk mie gacoannya kurang kecap atau kurang manis dari gacoan yang biasa saya beli. selebihnya aman",neutral,neutral,neutral,neutral,negative
Jofan Vtra1,"sistem yang sangat ribet, saya masuk ada security di dekat pintu masuk, saya bilang mau ambil antrean gada respon, saya ulangi lagi perkataan saya jawabnya bentar dengan nada yg kesal, padahal ada banyak alarm order yg nganggur, setelah itu ditulis nama saya dan disuruh nunggu, dan itu baru duduk udah dipanggil, kenapa ngga daritadi langsung aja?, setelah itu saya duduk dan di meja masih ada bekas makanan orang, disitu saya makin kesal, tapi saya masih sabar dan take order, setelah order nunggu lumayan lama, dan anehnya yg diantar cuma mie doang, untuk ekstra food dan minuman ambil sendiri padahal pembayaran via qris, udah gitu saya pesan yg level 1, teman saya level 3, tapi saya cek pedasnya sama, seperti level 3 semuanya, dan utk minuman teh tariknya seperti bubuk an, dan takarannya kebanyakan jadi pekat sekali rasanya, kalau bisa kedepannya diperbaiki lagi untuk konsumsi dan service nya",neutral,neutral,neutral,neutral,positive
DRW SKINCARE BANYUWANGI,"mantap banget,, sukses selalu gacoan banyuwangi",positive,neutral,neutral,positive,neutral
Aghitsna Mutiara,makanan enak tempat nyaman,positive,neutral,neutral,positive,neutral
Melly Fjl,pelayanan dan suasananya oke bgt pegawainya ramah,neutral,positive,positive,neutral,neutral
Eka Yuniararasati,"kesan nya, pelayanan disini sngat baik, dan ramah ramah pesan nya, semoga gacoan rame terus kedepannya, sukses!!",neutral,neutral,positive,neutral,neutral
PUTRI MAULIDA,"tempatnya bersih, pelayanan oke. aaakkk mantapp pokoknyaaa",positive,positive,neutral,positive,neutral
Misnah 02,pelayanannya baguss dan makanannya juga enak enak,neutral,neutral,positive,positive,neutral
Sinta Nuriya Devi,"cukup memuaskan, dimsumnya rekomen banget sih",positive,neutral,neutral,neutral,positive
Rahdek RP,makananya enak pelayanan nya bagus dan cepat,positive,neutral,positive,positive,neutral
Maharani Intan,mie gacoan emang the best sii cuma ngantrinya mashaallah,neutral,neutral,neutral,neutral,neutral
lele goyeng,"makanan nya cukup enak, tempat juga nyaman dan bersih, cuma sayang nya di pegawai nya. memang sih tidak semua tp ada beberapa pegawai yang menurut sy kurang pantas dan kurang ramah sikap nya. waktu itu sy pertama kali datang kesana dan saya kurang paham bagaimana cara memesan makanan disana, jd saya nanya lah ke salah satu pegawai dan itu jawab nya ketus banget, sedikit bentak dan entah kenapa sinis ya kalau memang mereka cape dengan kondisi resto yang ramai tapi setidaknya mereka ttp harus profesional dong? toh jg saya disini beli bukan yang minta gratisan, saya cuma minta di jelaskan bukan di bayarin.",positive,neutral,negative,positive,negative
yessica neysa,rekomended tempat dan makanan tooppppp sarangheyo mas exelent service,positive,neutral,neutral,neutral,neutral
Faza Hidayat,makanya nya enak dan tempatnya nya bagus,positive,neutral,neutral,positive,neutral
Dwi Indah,"pelayanannya sangat baik dan ramah sekali, tempatnya juga nyaman dibuat nongki sama keluarga",neutral,neutral,positive,neutral,neutral
ernando Anugrah Putra,tempatnya bagus dan pelayanannya ramah cuman ngantrinya nunggu lama,neutral,neutral,neutral,positive,neutral
1E_ 041_SABILLA DWI P,"segi makanan enak, layanan dan suasana juga bagus. tapi perhatikan lagi masalah kebersihan",positive,neutral,neutral,positive,neutral
MOUNTAIN JR,"tempatnya bersih, pelayanannya cepat dan pegawainya ramah.",neutral,neutral,positive,positive,neutral
Nurul Masruroh,tempat yg nyaman dan makanannya okke. recomended,neutral,neutral,neutral,positive,neutral
Viky Sh,"makanan enak dan murah,pelayanan cepat dan baik",positive,positive,positive,neutral,neutral
Yosa Lia,tempatnya nyaman dan cara pemesanannya lebih simpel. pelayanannya baik dan makannannya juga murah dan wort it lah dengan harga segitu,neutral,positive,positive,positive,neutral
Edy Suprihantoro,"makanannya enak, higenies jugaa, staff staff juga informatif dan sangat ramah, semoga tetap konsisten untuk kedepannyaa",positive,neutral,positive,neutral,neutral
Yenny Dwi,"pelayanannya sangat memuaskan staf sangat ramah, makanan dan minuman tidak memerlukan waktu lama sudah ready dan gak asal-asalan walaupun pengunjung rame,, good job dan pertahankan",neutral,neutral,neutral,neutral,neutral
Devi Tri Oktaviani,"pelayanannya cepat dan ramah, tidak antri karena respon dari mbak dan mas nya sangat cepat. makanannya enak dan higienis, murah dikantong pelajar dan kalangan masyarakat. recomend",positive,positive,positive,positive,neutral
Dinda Kartikasari,pastinya enak. karena mie gacoan mie sejuta umat. untuk cabang yang disini cukup ok pelayanannya cepat. tempat juga luas. suasana ramai tp kondusif.,positive,positive,positive,positive,positive
may may,"suka rasanya enak, pelayanan ramah semua",positive,neutral,positive,neutral,neutral
Jehan rizal,"untuk dari rasa dan pelayanan sangat memuaskan dan dapat diacungi jempol, cocok buat acara bersama teman dan keluarga. pokoknya top!!",positive,neutral,neutral,neutral,neutral
Retno amaliyah,"pelayanan baik,",neutral,neutral,positive,neutral,neutral
mondoluko 2,"suasananya nyamann kena angin sepoi sepoii, pelayanannya baik ramahh nyamann",neutral,neutral,positive,positive,neutral
Nafisah Mayan Fa'una,pelayanannya baguss makanan enak,positive,neutral,positive,positive,neutral
Aisyah Sholiha,"tempatnya bagus, pelayanannya ramah. semangat kakak semua kerja nyaaa",neutral,neutral,positive,positive,neutral
Muhammad Alief,semuanya enak tapi mungkin masukan dari saya bisa di cek kembali sebelum di berikan ke konsumen saya pesen es gerobak sodor 2 satu tidak di kasih sirup akhirnya campak,positive,neutral,neutral,neutral,neutral
Surya Fifi,besssttttt bangettttt cinta banget sama gacoan pelayanan ramah and ada complaint kakaknya jugaa grecep,negative,neutral,positive,neutral,neutral
_15 Elsa Tania,tempatnya bagus makanan nya enak pelayanan nya terbaik,positive,neutral,positive,positive,neutral
Agum Tamtomo putra,pelayanan dalem oke sih tapi pelayanan parkirnya kurang ramah banget apalagi ibunya waktu saya tanya ke maspengurus parkir baikmalah yg jawab ibudengan nada gaenak mohon di tegur deh,positive,positive,positive,neutral,negative
Lina Rihadatulzulfa,"gacoan enak banget rasanya enak ga berubah sama sekali,saya udah kesini berkali²,rating nyaa 1000010",positive,neutral,neutral,neutral,neutral
Dandiprabu Ip,bad service banget karyawan bukannya kerja malah asik bercanda,neutral,neutral,neutral,neutral,neutral
Nadia K.D,enakn bangettt plss,positive,neutral,neutral,neutral,neutral
Homsiyah,makanan enak pelayanan ramah dan cepat tempat juga luas tempat parkir juga luas,positive,neutral,positive,positive,neutral
Yuyun Indah,pelayanannya sangat baik dan ramah suasana yang menyenangkan,neutral,neutral,positive,neutral,neutral
Nengmin2 Bong,pelayanan e kenapa lamaaa pooolllll antara mie sama dimsum dan minuman jarak e lamaa sampai habis mie pun masih 10menit nunggu minuman sama dimsum,neutral,neutral,negative,neutral,neutral
Tiara Bwi,lumayan sih karena opening jadi harus waiting list.,neutral,neutral,neutral,neutral,neutral
Mien Umar,"sdh sering kesini pas malem, ga pernah gagal dari makanan atau pun suasananya, makin malem makin asik karyawan nya",positive,positive,neutral,neutral,positive
fauzan fauzan,seru bangett comfort banget,neutral,neutral,neutral,neutral,neutral
Nurin Humayroh,"sangatt nyaman dan makanan enakk, dan pelayanan sangat memuaskan",positive,neutral,neutral,positive,neutral
Novi Auliya,"pelayananya sangat memuaskan, kesini sekali langsung di bantu sama crewnya",neutral,neutral,neutral,neutral,neutral
Lupsul Jannah,tempatnya bersih pelayanannya ramah makanan oke,neutral,positive,positive,positive,neutral
Eky Prasasti,"harga sangat murah dibanding kompetitor, rasa lumayan enak dgn harga segitu pelayanan cepat",positive,positive,positive,neutral,neutral
Muhammad Ulya,overall enak cuma level 1 sedikit agak pedas,positive,neutral,neutral,neutral,negative
Yuniar Qurratul Lathifah,"baik pelayanannya, cepet penyajiannya, enak, murah meriah, cocok buat kaum pelajar",positive,positive,positive,neutral,neutral
3B_054_YUNITA ISMI ZAKIA,"pesanan sesuai banget dan enak bangett, untuk servis nya juga bagus bangett pokok gak ngecewainn",positive,positive,neutral,positive,neutral
Tutik Citra Ayu,"pelayanannya ramah dan baik,, seta tempatnya strategis dan bersih",neutral,neutral,positive,positive,neutral
Reza Wirayudha,pelayanan ramah,neutral,neutral,positive,neutral,neutral
Niena 3009,"puas dengan pelayanannya dan tidak dikecewakan dengan rasa makanan nya, next bakal balik kesini lagi",neutral,neutral,neutral,neutral,neutral
Aulia Safitri,suasana dana makanannya enak cuman minus di tisu aja,positive,neutral,neutral,neutral,neutral
Intan Nuraini,pelayanannya cepat dan ramah,neutral,neutral,positive,neutral,neutral
Halimatus Sa'diyah,"pelayanannya oke, makanannya juga enak. lupp",neutral,positive,neutral,neutral,neutral
3B_062_Wulan Finattul Rohma,makanannya enak dan harganya sangat worth it sangat ramah di kantong,positive,positive,positive,neutral,neutral
Toby Orlando,"pelayanan nya ramah,, harga terjangkau,, tempat bersih,, ga nyesel ke sini",neutral,positive,positive,positive,neutral
Alma MJ,rekom bgt guisss,neutral,neutral,neutral,neutral,neutral
alfipermata dewi,"pelayanan baik, makanan enak",positive,neutral,positive,neutral,neutral
Rizki Rahma inayati,"pelayanan bagus, makanan nya bikin nagih",positive,neutral,neutral,positive,neutral
Shafeea Dalisha,makananya enak banget murah lagi mie nya cuma 10 rb semuanya murah banget untuk makanan seviral ini kalau ngajak orang banyak pasti gk sampai 200 rb habisnya,positive,positive,neutral,neutral,positive
Novitaprasetyawati,"seru, asik, menyenangkan, enak, mantap, mengenyangkan, senang sekali!!!!!",positive,neutral,neutral,neutral,positive
Terta Crs,"pelayanan baik, rasanya enak josjis",positive,neutral,positive,neutral,neutral
Ade Firmansyah,"coba lebih diperbaiki lagi dari segi pesanan online, ketika sampai makanan seperti tidak sesuai sambal juga tidak diaduk, menggunakan sterofom juga tidak baik. terima kasih",neutral,neutral,positive,neutral,neutral
Arestya miftahulzannah,"pelayanannya ramah , tempatnya nyaman , makanannya enakk",positive,neutral,positive,positive,neutral
Nila Izati,"untuk rasa sudah baik dari awal buka kemaren, dari yg hambar skrng lebih pekat rasanyaa. terimakasih telah mendegarkan saran customerr love",negative,neutral,positive,neutral,neutral
Rizky Maulana,makanan nya enak dan untuk pelayanan cukup baik tempat juga nyaman,positive,neutral,positive,neutral,positive
muhammad Muqribillah,"pelayanannya ramah dan baik, karyawannya siap sedia jika kita punya pertanyaan",neutral,neutral,positive,neutral,neutral
Andra Danis,"makanan yang enak, pelayanan baik",positive,neutral,positive,neutral,neutral
Satria Bayu,pelayanan cepat. kualitas rasa konsistem,neutral,neutral,positive,neutral,neutral
Dewi official,pelayanan rama da cepat bngt,neutral,neutral,positive,neutral,neutral
isyiq kafka haneef,"makanan ny enk banget, pelayanannya juga ramah, cepat, sukaa bangetttt",neutral,neutral,positive,neutral,neutral
Putri Inggrid Krismita,"saya pesan online lewat kurir lokal, waktu tunggu kurleb 1 jam nggak ada masalah juga sih, mungkin karena masih momen grand opening. untuk rasa mie dan lumpia udangnya standart mie gacoan pada umumnya cuma yang sedikit disayangkan tidak ada sumpit ataupun saos. atau balik lagi ya, karena masih momen grand opening, jadi staffnya masih kurang awas tentang kelengkapan pesanan",neutral,neutral,neutral,neutral,negative
Anisa Maulida,pengalaman yang sangat asik untuk menikmati makanan yang enak dan suasana yang nyaman,positive,neutral,negative,positive,neutral
Yudi Kusumah,makanan enak harganya terjangkau. puas banget makan disini.,positive,positive,neutral,neutral,neutral
ajengg candramayu,"tempatnya lumayan bersih, makanannya juga oke dan masih panas hangat, pelayanannya juga sip dan cepat",neutral,positive,positive,neutral,neutral
KOMANG KARTIKO,makanya enak pelayananya baik,positive,neutral,positive,neutral,neutral
AdityaBintangFirmansyah,"pelayanan buruk, saat pesan makan diburu buru oleh kasirnya, kasir tidak ramah sama sekali",neutral,neutral,negative,neutral,neutral
siregar dumalubis,lama sekali minuman sampai 60menit lebih dari makanan sudah datang di komplain baru di buat kapok tidak lagi2 kesni,negative,neutral,negative,neutral,neutral
Yopi Danang,sangat2 mengecewakan proses terlalu lama datang jam 7 sampai jam 21.25 pesanan blm jgk slesai mana yg antri nyarik tempat duduk trs blm jugak order pesanan yg proses nya lama bgt.dan 1 pegawai di bagian minuman songong bgt nanyak baik jwban nya ngegas kamu kira kamu ja yg capek saya jgk capek bgt nunggu orderan samapai 2 jam lebih gk klar2 sistem di sini sangat2 bedah jauh dgn gacoan2 yg lain nya sumpah sunggu2 kecewa bgt anak2 sampek2 pada ngantuk smua sangking lama nya nunggu mana tempat duduk harus berpisah lg hu sangat2 mengecewakan sumpah. datang duluan makan belakangan ckp skali ni ja dah tanya sama staf nya dia bilang proses 20 mnt ujung2 nya lama bgt ampun dah pkok nya,negative,neutral,neutral,neutral,neutral
Milea Milea,"mantap gacoan jl.sutomo pelayanan oke, tempat oke, rasanya juga pasti oke, tempat luas, pelayanan lebih oke tidak perlu antri cukup duduk tinggal pesan lewat scan barkot.",positive,positive,neutral,positive,positive
Faradiba Hanif,"makanannya sama minumannya enak, pelayanannya bagus, mas n mba nya juga ramah sekaliiii",positive,neutral,positive,positive,neutral
Renxy Maulidya,"makanannya enak,harga terjangkau,dan tempatnya nyaman",positive,positive,neutral,positive,neutral
Ridho Septian,"tempat bersih,makanan nya oke,dan pelayanan ramah terbaikk",positive,positive,positive,positive,neutral
nely muslihatin,"baru kejadian tadi, dapet kursi yang tidak ada barcodenya, akhirnya ikut scan ke meja sebelah, pas makanan siap dipanggil di mik, padahal setau saya kalo dine in mienya bakal dianter kecuali dimsum dan minum. pesanan datang tetapi sempet ditanya sama waitersnya kok bisa pesanan beda antara nota dan nomer meja. saya jawab karena di meja tidak sedia barcode dan saya scan ke meja sebelah. pas remote pengambilan dimsum bunyi disarankan untuk membawa nota ke tempat pengambilan. crew yang menggunakan vest abu abu bilang tadi kenapa pas dipanggil ga kedepan, saya jawab ya saya kira bukan saya karena emang setau saya kalo dine in dianter, saya juga menambahkan alasan ga majunya karena ga ada barcode di meja. crew ini justru bilang kalo ga ada barcodenya silahkan ke kasir. tetapi saya tidak tau akan hal ini. mungkin memang seharusnya langsung ke kasir tapi mungkin saran saya segera perbaikan penambahan barcode atau diberikan informasi jika tidak ada barcode silahkan ke kasir. apabila ternyata sudah ada pemberitahuan tersebut semisal berbentuk tulis mohon diperbanyak menempelnya, karena tidak semua orang tau akan mekanisme jika tidak ada barcode segera ke kasir. pengaruh pada kenyamanan pelanggan, mohon untuk ditingkatkan layanannya tetapi overall meskipun sedikit ngegas ngasih taunya masih bisa diterima, maaf atas komentar saya semoga dijadikan bahan untuk improvisasi.",neutral,positive,positive,positive,positive
Salsabila R,"pelayanan cepat,makanan cepat disajikan dan enak,staff ramah dan helpfull",positive,neutral,positive,neutral,neutral
Indira Banyuwangi,"pelayanannya ramah,, tempat nya bersih,, harganya murah",neutral,positive,positive,positive,neutral
Miftahul jannah,lamaaa bgttttt pelayanannya kaya baru pertama kali buka uda beberapa kali kalo kesini makanan lama pwoll pdhal ps kesini beberapa hari lalu udah cepet pelayanannya,neutral,neutral,negative,neutral,neutral
Mutiara,makanannya tentu sangat enak dan tempatnya seru bisa untuk quality time bersama teman dan keluarga,positive,neutral,neutral,neutral,neutral
Leni Tiara,"dua kali order disini buat dine in dan take away nunggu lama banget lebih hampir setengah jam lebih. tolong dong pelayanan ditingkatkan biar lebih cepat, kita yg bawa balita dan bayi ini nggak bisa nunggu terlalu lama, keburu tantrum anak-anaknya.",neutral,neutral,negative,neutral,neutral
bunnie sweet,kotorr bangett wadahnyaa jadi agak risih mau makann,neutral,neutral,neutral,negative,neutral
Tasya Arlinda,"gila pelayanannya. sy sering bgt makan gacoan di luar kota gak selemot disini. dari awal datang udah disuruh nunggu pergantian shif baru bisa order di jm00.05 nyatanya jam 00.18 baru dibuka dan saya antri bersama 4rombongan lainnya,slama sy antri managernya sllu ajak ngomong kasirnya bikin tambah lama. singkat crita, semua sudah dilayani tinggal saya sj yg belum sekitar 30mnt dr barengan sy yg tadi dikasir itu. anehnya itu bukan kondisi rame! yg dine in hanya 5meja dan karyawannya masih bisa ngobrol dan selfi selfi. sy ga pernah makan gacoan diluar banyuwangi dg kondisi seperti ini .",neutral,neutral,negative,positive,neutral
yusrun Tamawala,"pelayanan tergolong cepat, makanannya enak, dan tempatnya bersih",positive,neutral,positive,positive,neutral
Aliza Putri,pelayanannya baik dan makanannya enak pokoe bestt,positive,neutral,positive,neutral,neutral
uta yuta,"pelayanan buat take away lama banget, banyak ngobrol, lambat nya ,mohon gacoan di tingkatkan mksi",neutral,neutral,negative,neutral,positive
Imam Taufik,"petugas ngasik meja g dilihat kondisi meja, nyaman gk klo makan dibawah terik matahari dikomplain hampir g bisa walaupun akhirnya bisa, setelah sy pindah ke meja yg teduh, petugas lainnya mengganti nomr sesuai mejs yg sy pilih pesanan",negative,positive,neutral,positive,neutral
Arum Monica,"enak slebeww, ramah banget pelayanannya",positive,neutral,positive,neutral,neutral
Tegar Wahyu Pradana,"minta tolong untuk pelayanannya selalu di breafing, salah sendiri juga malah marah ke customer, ngga ada maaf lagi tepatnya malam ini untuk manajer bisa cek dicctv jam 23.30 di meja nomor 2",neutral,neutral,neutral,neutral,neutral
Jenia Megumi,pas banget udah eank mending makan di sini enak nya puoll,positive,positive,neutral,neutral,positive
`Kàlzzʟ•ᴇ꧂ `Kàlzzʟ•ᴇ꧂,"suasananya sangat nyaman untuk berkumpul, ramai , pelayanan sangat cepat , banyak tempat duduk nya , banyak variasi makanan dan minuman nya , makanan nya sangat enakk dan lezat",positive,neutral,positive,positive,positive
Devita Damayanti,pelayanannya oke bgttt makanannya juga enak bgtt,neutral,positive,neutral,neutral,neutral
Ainun Hakim,buaat mbk cane smngat yaa kerja nya,neutral,neutral,neutral,neutral,neutral
Dwi Tri,murah dan enak,positive,positive,neutral,neutral,neutral
Blesterk 666,"pelayanan sangat bagus, cuman dari makanan sendiri dari kecap ada sedikit rasa pahit untuk kecapnya, dan ada anak anak yang menggangu saat sedang makan",negative,neutral,neutral,positive,negative
Wahyu Nur,makan enak pelayanan juga oke,positive,positive,neutral,neutral,neutral
Dewi Nur Azizah,"mantapp pelayanan baik meskipun full tpi pelayanan ramah cepet, recomend deh",positive,neutral,positive,neutral,neutral
