username,review,char_length,word_count,length_category,estimated_tokens
Riders ONE Fifty,"oalah ini toh warung bakso rampok, yg modusnya cari karyawan",60,10,51-100,14.0
kharisma icha,"enakk, bakso uratnya joss, kuah pedas merahnya nampolll, harganya oke",69,10,51-100,14.0
Devi Nurlita,"lumayan enak. banyak pilihan menu, lokasi juga dekat jalan raya, mudah d temukan",80,13,51-100,18.2
Festri Istiarani,"enak, murah",11,2,0-50,2.8
GATOT AS,bakso top di bwi karena har ganya murah dan semriwing dg kwah bakso pedas,73,14,51-100,19.599999999999998
Halim Kusuma Wira,"pecinta bakso pedas ,sangat enak dan kuah segar tdk banyak lemak. mantul.",73,12,51-100,16.799999999999997
Niklaas Andries,perlu ditambah siomay rebus mantul,34,5,0-50,7.0
novia reza,mantep si baksonya.bakso kuah pedes dan pentol pedes.cocok nemenin galau,72,10,51-100,14.0
Daffa Dzaki,"mengecewakan, setngah jam g dilayani dan ternyata di pingpong pesanannya gada, pulang dengan perut lapar pdahal mau beli bukan minta",132,20,101-200,28.0
Puguh Ahmad Wiyono,tampilannya kini sangat berbeda dibanding ketika beberapa th lalu saat masih merintis usahanya.kini sudah menetap.dan representatif.,132,16,101-200,22.4
RIZQA WULANDARININGSIH,overall baksonya enak tapi mas-masnya yg buat gak enak gk bisa senyum,69,12,51-100,16.799999999999997
Harry MotoVlog,ini bakso yg viral karena merampas perhiasan dan motor karyawan??,65,10,51-100,14.0
Ferry Hargi Laksmana,"mines banget tukang parkirnya, 0 attitude",41,6,0-50,8.399999999999999
Mario Eiday,lumayan biaya parkir mobil lumayan spt mall 5k,46,8,0-50,11.2
Komang Diah Ayu Jayati,kuah pedesnya gak ada tanding selalu jadi favorit.,50,8,0-50,11.2
Flawsome Fungirl,"rasanya enak gaess, kuahnya seger dan ada ruamgan ber ac nya jugaaa",67,12,51-100,16.799999999999997
Bayu Satria Kusuma (Quzuma),mantulll bgt baksonya dan kuah oedesnya apalagi manyuk banget deh,65,10,51-100,14.0
hidarohmah,"enak baksonya, ada bermacam2 bakso, kuahnya juga banyak ada kuah original, kuah pedas, kuah rawon, so delicious",111,17,101-200,23.799999999999997
Tri Yuni Prabawati,tempat pilihan bakso terbaik disini. bermacam macam kuah bakso nya bisa dipilih,79,12,51-100,16.799999999999997
Dedy channel,baksonya enak banget terutama kuah pedesnya mantap,50,7,0-50,9.799999999999999
Maria Dyah Nita,best bakso dengan kuah pedas,28,5,0-50,7.0
roziq khairurrozi,bakso pedes paling top. menu bakso prasmanan tinggal pilih sesuai selera,72,11,51-100,15.399999999999999
Riasyatul Aulia,"memang mantapp, suka bakso kuah pedasnya",40,6,0-50,8.399999999999999
Joedie Fan,"cukup enak, tapi kebetulan saat saya berkunjung kuah nya tidak panas",68,11,51-100,15.399999999999999
re swasti,"enak baksonya, ada kasar, halus. kuahnya bisa pedas dan tidak pedas.",68,11,51-100,15.399999999999999
Adibi Ahmad,mantap kuah baksonya. variannya juga banyak,43,6,0-50,8.399999999999999
HAQIQI,"enak, baksonya padet dan harga tetep murah meriah",49,8,0-50,11.2
gigih perkasa A.S.,tempat bersih sesuai protokol kesehatan pelayanan cepat kalok bawa mobil parkir terbatas,88,12,51-100,16.799999999999997
Dewi Permata,baksonya enak! bisa ambil isian sesuka hati,43,7,0-50,9.799999999999999
Hendra D Y,"tempat nyaman, rasa nya enak, harga terjangkau recomended",57,8,51-100,11.2
Legit Lanang,enak banget bakso nya pokok nya guriiih,39,7,0-50,9.799999999999999
Shafira Ghaliyah Amirah,bakso pedas nya mantap abis luar biasa pedas. perpaduan daging cincang dan sambal,81,13,51-100,18.2
Ales Sandra,perbanyak meja nya masak warung rame tapi tempatnya terbatas,60,9,51-100,12.6
Khoir Roel,"bakso prasmanan, menu bs milih dan mengambil sendiri sesuai keinginan",69,10,51-100,14.0
Sandy Putra,"bakso enak, cuma tempatnya kurang luas sih",42,7,0-50,9.799999999999999
ELci EL,bakso murah kwalitas mewah,26,4,0-50,5.6
susanto santo,rasa enak harga bersahabat,26,4,0-50,5.6
Slamet Supriadi,sngat menyenangkan pegawai wrungnya baik dan ramah2 trus cara penyajiannya cpt dan tdk terlalu lama,99,15,51-100,21.0
Sovinda Anjanira,"tempat yg nyaman, rasaaanyaaa tidak mengecewakan. harga pas d kantong",69,10,51-100,14.0
Ipunk,"rasa kuah biasa aj, tertolong dg rasa pentolnya yg enak",55,10,51-100,14.0
Haisah,baksonya enak. harga standart. tempat nyaman. recomended untuk pecinta bakso.,77,10,51-100,14.0
nonik Naya,bakso halusnya oke cuman gak ada yg besar,41,8,0-50,11.2
Nonik Wahyudi,baksonya enak cuman pelayannya kurang senyum,44,6,0-50,8.399999999999999
"DERA CAHYONO, SST,MT","cita rasa bakso kondusif yang sangat legendaries, rekomendasi dengan aneka pilihan model bakso dan kuah",103,15,101-200,21.0
Hafizh “Mas Dika” Official,"baksonya banyak varian, ada sekitar 8 varian sesuai selera pengunjung",69,10,51-100,14.0
Muhammad Samsul arifin,tempat makannya kurang luas dan parkirannya sempit,50,7,0-50,9.799999999999999
Nurdya Miftahul,"menu bakso nya banyak pilihan, enak rasanya dan pas dikantong",61,10,51-100,14.0
Yoartiningsih Betasri,"baksonya enak, rekomen banget sih",33,5,0-50,7.0
Ario Murti,"bagus. sayangnya sering tutup, padahal saya datengnya jam 2 malem.",66,10,51-100,14.0
Ayah Arini,"lokasi strategis, tempat luas bersih, rasa standar 710, harga standar",69,10,51-100,14.0
Robby Cahyadi Hartoyo,"bakso prasmanan dengan banyak varian, gorengan, bakso urat, biasa, pedas, isi, dan pilihan kuah pedas",101,15,101-200,21.0
Redventure Indonesia,"enak , baksonya asin",20,4,0-50,5.6
Djumain Kuswanto,"rasanya uenak cak, banyak pilihan harganya murah meriah",55,8,51-100,11.2
Ken Respati,mantap baksonya. rasa bintang lima harga kaki lima.,51,8,51-100,11.2
dniel,enak aku suka banget sama rasa kaldu nya hmmm pokoknya recommend,64,11,51-100,15.399999999999999
Shame mawoen,bakso kondusif mantaap wes pokoke apalagii kuah pedasa,54,8,51-100,11.2
Si NduL Aida,baksonya mantul pake banget banyak varian kuahnyah,50,7,0-50,9.799999999999999
Nur Yati,baksonya enak dan beda lo sama yg lain,38,8,0-50,11.2
KM abubakar,dihitung per pentol. mie dan kuah bebas ambil,45,8,0-50,11.2
aminatun kharimah,bakso dan gorengannya enaaak. kuahnya seger. recomended pokoknya,64,8,51-100,11.2
PRAS CR,sekarang sudah banyak perkembangan rasa tetap sama gratis parkir lagi,69,10,51-100,14.0
Aulia Mareta,"banyak tahu loh, rasa baksonya itu loh pengen nambah rasanya.",61,10,51-100,14.0
Syaiful Anam,dengan konsep buffet bikin konsumen bebas memilih sesuai selera,63,9,51-100,12.6
Durrotun Nasihah,kuah pedasnya enaaaaaa,22,3,0-50,4.199999999999999
Moh. Budiman,"rasa enak, ruangan nyaman dan harga terjangkau",46,7,0-50,9.799999999999999
Iyans Kusoy50,"enak, ambil sendiri kebetulan rame jadi ngantri",47,7,0-50,9.799999999999999
Ahmad Iqbal,salah satu bakso enak yg pernah saya coba,41,8,0-50,11.2
Arie Andika Yahya,"bakso yang sangat kondusif sekali tempatnya nyaman dan bersih,,",63,9,51-100,12.6
aji tri,bosnya tukang begal ijazah harta berharga karyawannya,53,7,51-100,9.799999999999999
Maulinda Fatwa Ulfa,"baksonya ok,lahan parkirnya kurang pas",38,5,0-50,7.0
Layinnati Alfiyah,"belum nyoba tapi lewat pasti rame, kayaknya rekomended buat dicoba",66,10,51-100,14.0
Khoirul Arti,baksonya banyak variasi tempate rame banget,43,6,0-50,8.399999999999999
Hendi Joko,tooooppp daging bakso n kuahnya yg mak cuzzz,44,8,0-50,11.2
Alief Fajar,"enak nyaman bersih, cuma sayang gorengannya keras",49,7,0-50,9.799999999999999
atharrazka Setiyawan,mantap pokok e,14,3,0-50,4.199999999999999
Eka Isma,cadangan terakhir warung bakso klw yg lainnya tutup. reccomend,62,9,51-100,12.6
Tatang Barlina,jam buka gak sesuai,19,4,0-50,5.6
Jay Andhika,"baksonya mantap, harganya relatif murah,",40,5,0-50,7.0
Heny Prayito,"baksonya biasa saja, tempatnya lumayan lah, ga ada istimewanya",62,9,51-100,12.6
Wijayanti N,bakso kuah pedas nya enak harganya juga murah,45,8,0-50,11.2
Dn Wn,ambil mangkok sendiri pentol sendiri tahu sendiri sesuai selera,63,9,51-100,12.6
Kharizma Aiya,sering habis bakso tangkarnya,29,4,0-50,5.6
Salsa Billah,bakso kondusif pak yanto emang mantap,37,6,0-50,8.399999999999999
Agus Widodo,area strategis pelayanan lumayan bagus area parkir kurang luas,62,9,51-100,12.6
andy wiryantana,bakso nya enak apalagi ada kuah pedes nya,41,8,0-50,11.2
suwarna nadhira,rasanya lumayan lah utk sekelas kota banyuwangi harganya jg murah,65,10,51-100,14.0
Sunardi Aj,tempatnya ramai dan baksonya enak sekali,40,6,0-50,8.399999999999999
Basuki Rahardjo,"tempatnya mudah dijangkau, lahan parkir kurang luas",51,7,51-100,9.799999999999999
black jack,"murah, enak tapi kuahnya kurang panas.",38,6,0-50,8.399999999999999
Redzky Yoga,"bakso enak, ukuran besar, sesuai nama kondusif",46,7,0-50,9.799999999999999
Akbar Aghatsy,selalu padat dan antri membuat kewaalhan dalam clearup nya,58,9,51-100,12.6
huget prawira,enaaak sayang parkirannya sangat sangat terbatas,48,6,0-50,8.399999999999999
Dick Kuryana,rame antrian nggak jelas datang barusan lsg nerobos,51,8,51-100,11.2
Nayla Malihatan Nisa,mbayar kasirnya lama ruwet antri,32,5,0-50,7.0
muhammad birrulalim,sangat enak sekali pentol isi dagingnya,39,6,0-50,8.399999999999999
denmas morro,alhamdulillaahirabbilaalamiin semoga bermanfaat serta selalu mendapatkan perlindungan bimbingan kemudahan rahmat hidayat alloh swt,130,13,101-200,18.2
Ridzaldzaky Alfachridzzi,"bakso kuah pedas nya bisa di coba, delivery by riders.id",56,10,51-100,14.0
Audrey Kaylifia,"ini bakso langganan saya, baksonya enak harga nya pun murah",59,10,51-100,14.0
Afifah Budiono,suka sama kuah baksonya . uenak,31,6,0-50,8.399999999999999
siti nadh,"tempat bagus, rasa enak dong mantul",35,6,0-50,8.399999999999999
Nan Ath,"baksonya oke banget, bisa dikondusifkan",39,5,0-50,7.0
Namaewa Unknown,tempatnya nyaman dan dekat dengan jalan umum selalu terjaga kebersihannya,73,10,51-100,14.0
Silla Rosita,bakso kuah pedasnya enak banget nendang,39,6,0-50,8.399999999999999
Alfiatus Sholihah,"sistem prasmanan, harga cukup murah",35,5,0-50,7.0
Ivon Christy,harga murah meriah enak lg pokoknya siip,40,7,0-50,9.799999999999999
gie rulie,enak yg kuah pedas bikin penyaar,32,6,0-50,8.399999999999999
"Vendy Azivano S.E,","lumayan enak, tapi yg paling enak pentol yg kecil",49,9,0-50,12.6
mahmuda mamita,kost putri daniel nyaman bersih dan harganya terjangkau,55,8,51-100,11.2
Dhipa Pramudya,"first time dateng kesini, simak aja nilainya hehe",49,8,0-50,11.2
Syadidul Fahmi,"pusat bakso kondusif, enak dan ramah lingkungan dompet",54,8,51-100,11.2
roys sardian,recomended untuk kuah pedasnya apalagi musim hujan,50,7,0-50,9.799999999999999
Dody Santoro,kuah nya enak dan bakso juga terasa dagingnya,45,8,0-50,11.2
banyu sumber,mantav deh hanya tempat parkirnya aja gak memenuhi,50,8,0-50,11.2
Siti Hajar Aisyah,harga terjangkau dan uenak,26,4,0-50,5.6
Sigit Sutrisno,mantap banget,13,2,0-50,2.8
Devi Yuniarti Ningrum,uwenak muryahhh,15,2,0-50,2.8
Bravo NeT,tempat makan yang menyediakan hidangan bakso yang terletak di banyuwangi jalan prambanan,88,12,51-100,16.799999999999997
Mariyam Raniyah,"rasanya enak, tapi pelayanannya kurang. mohon ditingkatkan kualitas pelayanannya.",81,9,51-100,12.6
Zainal Arifin,bakso nya beda dari yang lain. cita rasanya menggoyang lidah,60,10,51-100,14.0
A.Y.Saputra Ayulie,wes pokok enak lah.pokok pak yanto tonggoku,43,7,0-50,9.799999999999999
findri ardhani,"lumayan enak, harganya juga ngga mahal",38,6,0-50,8.399999999999999
Vera L Ratna,bakso kuah pedasnya mantap sekali,33,5,0-50,7.0
Heri Susanto,semangkuk tambah es teh segelas 14rb,36,6,0-50,8.399999999999999
Ernia Djohansyah,enk nyaman tmpate bersih,24,4,0-50,5.6
Y P,lumayan,7,1,0-50,1.4
habib hasan,tempat nyaman ada ruangan di dalam khusus ac,44,8,0-50,11.2
Agus Nur Waqit,bakso nya sangat lezat. dan enak.,33,6,0-50,8.399999999999999
PAK HOL,enak kuberi nilai 90,20,4,0-50,5.6
RADENMAS CHANEL,baksonya mantap rasanya luar biasa,34,5,0-50,7.0
raden falah,lumayan enak dan tidak antri cepat sekali pelayanya,51,8,51-100,11.2
Bona -,warung bakso rekomended. mantap dah,35,5,0-50,7.0
atindriya. ap,enak. bisa ambil sendiri. pilihannya banyak puol,48,7,0-50,9.799999999999999
SDM Banyuwangi Barat,lumayan enak dan harga masih bisa dijangkau,43,7,0-50,9.799999999999999
M. Riesta Farhan,disarankan untuk menambah meja makan atau tempat baru,53,8,51-100,11.2
Eva Zulfiyah,"ada kuah pedesnya, mantul deh",29,5,0-50,7.0
Joe Dzulkarnain,kalo sekelas banyuwangi lumayan rasa basonya,44,6,0-50,8.399999999999999
Haris Setiawan,ya lumayan rasanya,18,3,0-50,4.199999999999999
Leo Hady,"lumayan enak,murah, pas di kantong",34,5,0-50,7.0
ahmat syaiful,lumayan ada tempat parkir maksimal 2 mobil,42,7,0-50,9.799999999999999
Prayogo Setiawan,pokoknya mantap baksonya,24,3,0-50,4.199999999999999
Nizam Foster,bakso kasarnya top fung hausek.enaak,36,5,0-50,7.0
Iwan Purwanto,"mantap sekali, cocok aman di kantong",36,6,0-50,8.399999999999999
Chairunisa Firdaus,"baksonya unik, ada bakso pedas sma bakso rawon, out of the box",62,12,51-100,16.799999999999997
Mohammad Nazir Khan,baksonya enak sudah berlangganan lama,37,5,0-50,7.0
Rizki Moedjihadi,"tempat nya bersih, baksonya enak",32,5,0-50,7.0
Yulaisah Nur Fadilah,enak sih tapi porsinya dikit,28,5,0-50,7.0
Dion Extica Chandra,saya suka favorit bakso ini,27,5,0-50,7.0
HUSIN GUNAWAN,"rame, tempat kecil sering pemuh",31,5,0-50,7.0
Ratna Nienk,bakso kuah pedasnya ngangenin,29,4,0-50,5.6
Mohammadali wafa,"enak, bersih, nyaman, dan murah",31,5,0-50,7.0
Irfandy Aziz,"bos kocak, tukang meres karyawan.",33,5,0-50,7.0
Novita Mutiah Yudha (Mutia),enak baksonya. murah harganya.,30,4,0-50,5.6
Nina Ayu,enak sekali rame ranh kantong,29,5,0-50,7.0
An-Dha Cell,ada yang lebih murah?,21,4,0-50,5.6
Ita Mardiati,"mantaf bakso kuah pedasnya,,",28,4,0-50,5.6
Fauzi Tha,mantap bakso kuah pedasnya,26,4,0-50,5.6
Yusan Janitra,nitip mumpung masih anget nya,29,5,0-50,7.0
lusi herawati,ada menu spesial pentol pedas dan kuah pedas,44,8,0-50,11.2
Mobit Mob,kuahnya yg pedas mantap,23,4,0-50,5.6
hokkaido store,enak,4,1,0-50,1.4
rezza,baksonya paling enak dan murah di banyuwangi,44,7,0-50,9.799999999999999
Bimo Rahadi Wicaksono,"bersih, enak dan murah",22,4,0-50,5.6
Ridha ariyanti,enak bangett bakso nyaa,23,4,0-50,5.6
ongis nade,sekarang model prasmanan mantab jiwa,36,5,0-50,7.0
Siti Rosita,"rasanya mantepp ,bikin nagih",28,4,0-50,5.6
Arto Moro Cocopeat. Fiber. Bristail and chip,bakso ne super enak dan nagih,29,6,0-50,8.399999999999999
Gogon AurorA,bakso mantab,12,2,0-50,2.8
Suharyono Eko Prasetyo,bakso dgn aneka rasa kuah dan isi,33,7,0-50,9.799999999999999
Kurniawan Fitrianto,rada kemahalan. parkirnya sempit.,33,4,0-50,5.6
Ryan Airen,rasanya khas enak dan murah,27,5,0-50,7.0
ulfy via,baksonya bikin nagih setiap saat,32,5,0-50,7.0
Fuad Ardiyansyah,"baksonya enak, yang punyak juga suka touring",44,7,0-50,9.799999999999999
Yoni Nuria,isi baksonya macam2 dan enak,28,5,0-50,7.0
Listin Muji,bakso kuah pedasnya mantul,26,4,0-50,5.6
Muhammad Ridwan,menu bakso banyak pilihan,25,4,0-50,5.6
Ismi Arofah PAI Channel,"baksonya lumayan, tempat bersih",31,4,0-50,5.6
Rage Renggo,ngarang aja google. gw ga pernah kesini,39,7,0-50,9.799999999999999
Hervina Nurullita,"tempatnya luas banget khas kedai2 gacoan di beberapa kota yg ku kunjungi. walaupun antri panjang tapi cepet pelayanannya. tapi moon maap, ini kenapa gacoan banyuwangi rasanya kok kayak mie sedap ya pak?",202,32,201-300,44.8
Fibri Nofitasari,"pelayanan cepat dan ramah, tempat nyaman, dan makanannya juga enak",66,10,51-100,14.0
Kurosaif,"suasanya nyaman pelayanan cepat, parkir luas, variasi menu banyak mantab untuk yg suka mie",90,14,51-100,19.599999999999998
indi nuri maghfiroh,pelayanan sangat baik dan ramah tempatnya kondusif dan nyaman,61,9,51-100,12.6
Dovikagung Prasetyo,"antri nya tidak terlalu lama,pelayanan nya ramah waktu kesini ada promo harga dan rasanya cocok semua",101,16,101-200,22.4
Silva Adjjht,"setelah sekian lama udah hadir di banyuwangi, akhirnya kmren baru nyoba gacoan depan taman blambangan. masih rame banget dari awal opening sampai saat ini , jadi kalau kesini pastikan perut tidak lapar banget ya . pemesanan dine in antri ambil no meja dulu . setelah itu tunggu di meja scan barcode di meja untuk pemesanan. bisa bayar online atau bayar di tempat. lebih mudah menurutku jadi gk perlu uantri panjang. overall mantap , udang keju topp kejunya lumerrr datang keadaan masih panas . apalagi ada promo dine in 2 mie , 1 udang keju , 1 udang rambutan , 2 ice lemon tea cuma 48ribu muantaaaap buruan ke gacoaaa wess",623,110,501-1000,154.0
Hadiansah channel,"gacoan banyuwangi, pertama hadir meramaikan per mie-an di kota banyuwangi, berpusat di tengah kota banyuwangi tepatnya di selatan taman blambangan, jadi habis olah raga langsung sarapannya gacoan",195,27,101-200,37.8
Juwita Bunga,all gooddd bakal balik lagi sih yg pastii puas bangett sama pelayanannya lv bgt sama gacoannnn,94,16,51-100,22.4
Aiueo,"burukk,karyawan banyak tp pelayanan lama poll, mie udah selesai lama gak segera dianter nunggu pesanan komplit,alhasil lama polll laperrr mie nya dah dingin gara2 nunggu es buah komplit kenapa gak dianter mie nya dulu hadeehh",225,35,201-300,49.0
kharisma nurulzza,oke bangettt pelayanan baik dan cepet udah berkali kali ke gacoan langganan banget luvv gacoan,94,15,51-100,21.0
Raditya Putra Ramadani,akhirnya mie gacoan hadir di banyuwangi ada di 2 tempat yaitu di genteng dan di bwi kota untuk wilayah utara tak perlu jauh ke selatan hanya di bwi kota saja pelayanan sama semuanya juga sama hanya saja di banyuwangi di bagi 2 untuk mencakup jangkauan,251,45,201-300,62.99999999999999
eka widiya,pelayanan dan kebersihan nya bagus next bisa balik lagi,55,9,51-100,12.6
adinda yanuarinda,"pelayanan oke bangetttt, buat makanannya juga ngga nunggu begitu lamaaa",71,10,51-100,14.0
Cantika Evaamala,makanan wenak poll rasa mie dominan ke kecap sih pedesnya nampol udang keju nya lumer enaakkk sayaang bgt ngantri 1jam rame bgt pelayanan ok makanan ok tempat ok,161,28,101-200,39.199999999999996
Dian S,"untuk makan sih enak, tetapi juga di perhatikan lagi di check kembali di struk terlihat jelas lemon tea tapi yang datang cuma satu lemon teanya yang satunya teh biasa, dan juga minta tolong untuk alat kebersihan di taroh di dalam, dan juga untuk karyawan yang membersihkan meja di perhatikan juga mejanya masih basah kalau perlu di lap 2 kali pakai kain kering juga",365,63,301-500,88.19999999999999
Dani - Al,"pesen dimsum 2 sama matcha 2, service lama banget, pas udah dibawa pulang gak dikasih saus thailand nya, parahnya lagi udang kejunya kopong gak ada isinya, parah banget, tolong lah lebih teliti lagi, kita beli bukan minta, tolong ditingkatkan lagi pelayanan dan pengawasannya, terimakasih",288,44,201-300,61.599999999999994
Desta syifa,pelayanan baik bangett puas sekali makanan datengnya juga cepet,63,9,51-100,12.6
Desi Puspita,"pelayananya cepat, untuk gelas minuman sayangnya masih menggunakan cup plastik satu kali pakai, ukuran mie lebih kecil dan sedikit keriting beda dengan gacoan lainya, untuk rasa sama saja enak, tempatnya bersih",210,31,201-300,43.4
ghea mnl,"kurang oke untuk kelengkapan alat makanan, tidak bisa minta garpu jika anak kecil mau makan agak susah, saat mie diantar ke meja juga sedotan kurang 1 kita minta lagi tp disuruh ambil ke kasir, pelayanan krg memuaskan. untuk makanan lumayan.",241,40,201-300,56.0
Lela septya Wardani,saya sudah sudah beberapa kali kesinii dan alhamdulillah pelayanan bagus dan makanannya enak,92,13,51-100,18.2
ogi puthot,minuman nya lama banget makan udh abis masih belum datang pas datang esnya malah ga manis sepet banget jelek polll,114,20,101-200,28.0
Ismi Arofah PAI Channel,"setelah sekian bulan mie gacoan buka di banyuwangi kota, akhirnya, nyoba juga, nggak ngantri, hanya 10 menitan menunggu pesanan, sistem pemesanan pakai barcode yang ada di masing2 meja, pembayaran bisa qris atau tunai, ke kasir langsung bayar. mie gacoannya level 2 tercocok buat saya, enaak. udang kejunya terlalu,, enaak. dan thai teanya juga enaak. welcome kalori deh pokoknya, gpp, besok diet lagi",401,62,301-500,86.8
Putri Suci,"pelayanannya sangat baik,dan tempatnya nyaman",45,5,0-50,7.0
Bulah Bulah,pelayanan cepat mie nya enak beda dari yg lain pedes nampol pokoknya deh,72,13,51-100,18.2
Devi Bwi,aku ambil paket f bisa untuk 2 orang dengan harga kurang dari 70.000 sangat² worth it sih ini,93,18,51-100,25.2
keju asin,"ini pegawainya salah antar kah? masa level 1 cabenya sebanyak itu? foto sebelah kiri dan level 2 apalagi puedes banget foto kanan. biasanya order level 1 gak sebanyak itu cabenya, dan level 2 pun masih wajar pedasnya. better dikasih tanda levelnya kak, agar tidak tertukar dengan customer lain. untuk kritik lainnya, setiap kali dine in yang datang duluan mie nya, pernah sampe mie udah dingin dan kering, minuman dimsumnya baru selesai. semoga kritik sarannya dapat diterima dengan baik, agar ke depannya pelayanannya makin oke ya.",532,85,501-1000,118.99999999999999
Rocella Ivanovic,"makanan enakkk, layanannya bestt! murah meriah!!!! sukses selalu",64,8,51-100,11.2
Safitri ningsih,"pelayanan ramah, tempat nya nyaman cocok buat kalian yang suka mie pedas",72,12,51-100,16.799999999999997
Nonik Wahyudi,lain2 oke tapi sayang banget take away dibungkus pakai steroform kan bahaya. kenapa gak kyk gacoan bali yg pake kotak tolong kedepanya diperbaiki lagi.,151,24,101-200,33.599999999999994
Tarisa Maulidiya,pelayanan dan rasa sangat memuaskan,35,5,0-50,7.0
Selvica Na,"untuk pelayanannya ramah, tempat nyaman bersih",46,6,0-50,8.399999999999999
Intan Maya,udah berkali kali ke gacoan dannn all gooddddd tidak pernah mengecewakan sih sejauh ini,87,14,51-100,19.599999999999998
masemba 2022,"pelayanan emang tertata, tapi terlalu ribet perasaan gacoan di jogja gak ribet kaya banyuwangi. kesini pagi dan masih sedikit orang tapi tetep gak boleh milih meja padahal buanyak yg kosong, di jogja juga gak ada tuh harus ambil nomor antrian dulu nomor meja dulu baru bisa duduk, itu hanya berlaku ketika overload aja. sistem meja harusnya disesuaikan dg keramaian aja gak perlu terlalu ribet karena orang makan juga butuh kenyamanan",434,70,301-500,98.0
Akhmad Mizan B M,"pelayanannya ramah, cepat. makanan yg disajikan sesuai. overall mantap.",71,9,51-100,12.6
Dieva Humaira,"makanan nya enakk, pelayanan nya juga baikk dan ramahh",54,9,51-100,12.6
Devi Mariska,pelayanan yang maksimal dan bisa menikmati makanan,50,7,0-50,9.799999999999999
latifazhr alikhsaniyah,"suasana enak , pelayanan jugaa , the besttt pollll",50,9,0-50,12.6
Annisa Nurdiana Safitri,"mie nya ngga usah diraguin lagi selalu enak dan pedes nya lumayan pas, pelayanannya juga udah mulai lumayan cepet, pegawainya juga ramah apalagi pegawai yang atas nama kak balqis yang ramah poll karena ada masalah takeaway langsung gercep diatasin, tapi mohon maaf ada pegawai cowo bagian antar mienya di tanggal 28 juni siang tolong diperbaiki lagi menyikapi custnya, kita baik baik ngejelasinnya kalo mie yang diantar itu takeaway malah ngga didengerin dan ditinggal pergi, selebihnya all good kok",499,78,301-500,109.19999999999999
Ayu Cindy,pelayanan nya kurang nyaman!! kasir nya ketuss piring nya juga kayak kotor gitu pas pesanan bru di antar berantakan banget tolong di perbaiki lagi biar gk kapok,160,27,101-200,37.8
Agista Catur Fitria,"mie nya enakk, semua jenis dimsum jg okeee bgt. the service was nice.",69,13,51-100,18.2
Yusup Abadi,"pelayanan memuaskan, rasa juga enak murah",41,6,0-50,8.399999999999999
Chika Jillia,nyaman enak cepet ramah -kalo take away lama,44,8,0-50,11.2
Ela Nuraini,"tadi banget kesana berdua alhamdulillah ga begitu ngantri dan langsung dpt kursi alhamdulillah, untuk mie juga datengnya cepet tapi sayangnya, side dishminumannya datangnya luamaaa banget huhu kayaknya bahkan mie ku udah habis tapi minuman dan side dishnya belum dateng, tapi cs lain yang datengnya sesudah aku malah udh dpt duluan karna mereka lgsg datang ke bagian side dish bahkan sblm timernya bunyi pas ku perhatiin ternyata staff bagian side dish ga ngasih pesenan sesuai antrian. harusnya, meskipun cs dateng ke bagian side dish dan minta pesenannya sblm timernya bunyi ya jangan dikasih dulu. tapi hari ini, mas² staffnya malah ngoper minumanku ke mba² yg dateng kesana sblm timernya bunyi karna minuman kami sama dan itu ku perhatikan udah 2x. kenapa aku bisa tau? karna minuman itu udh ada di nampanku, tapi diambil lagi dan struknya yg udh ditempelin diganti struk lain, dan ternyata pas aku samperin ke bagian side dish, struk minumanku yg dipegang staffnya bener² udah basah bangeett kyak udh ditempelin lama ke gelas minumku yang dioper tadi sedih banget nahan pedes setengah jam tanpa minum buat staff bagian side dish hari ini, tolong dong pesenan dilayani sesuai antrian, meskipun cs nyamperin ke tempat pengambilan jangan dilayani dlu sblm timernya bunyi padahal staf lain biasanya bisa nolak cs yang nyamperin sblm timer bunyi",1345,214,1000+,299.59999999999997
y al,"baru kali ini sih ngerasain makan udang rambutanya gk enak udh gk berasa bumbu nya, keras ampun deh mungkin krn udh sering coba gacoan di beberapa kota lain yaa biasanya udang rambutan itu renyah gurih kerasa bgt bumbunya jd nyoba yg di sni beda rasa mie nya jga kurang manis next mungkin bsa di perbaiki lagi yaa biar sama kyak gacoan lainya thanks",349,63,301-500,88.19999999999999
Umi Musfita,pemandanganya enak dan makanannya worite enak dah pokoknya,58,8,51-100,11.2
Alfiatu Saadah,"pelayanan yang sangat memuaskan, tempatnya juga oke si",54,8,51-100,11.2
Cesa 333,niceeeee aku suka banget,24,4,0-50,5.6
Rina,pulang kerja pesen mie gacoan di takeaway.tapi pelayanan kurang ramah masa iya dilempar cara ngasinya aku pesen 3 ada tambahanya 1 . seenak²nya apapun makanannya semurah apapun makanannya kalo pelayanan kek gitu jd kapok dateng kesitu lg.secapek² nya kerja harus punya etika di customer .perlu di brifing lagii,310,48,301-500,67.19999999999999
elva yulieta natasya,"pelayanan terbaik, complain cepat tanggap langsung diatasi",58,7,51-100,9.799999999999999
Haikal Putra,enakkk bangetttt prlayanan oke,30,4,0-50,5.6
Kaysya Syahila,"pelayanan baik,rasa makanannya pun enak",39,5,0-50,7.0
Husnul Chotimah (Husnul Chotimah),"pelayanan cepat, rasa oke dan harga ramah dikantong",51,8,51-100,11.2
Nastar Nanas,"makanan enak dan konsisten rasanya. parkiran luas, pelayanan ramah",66,9,51-100,12.6
Robby Dermawan,"makanan enak², tp pelayanan agak lama",37,6,0-50,8.399999999999999
